Altogether ^rb+cnj+++=Altogether,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
data ^nns++++=data
identified ^vwbn+++xvbn+=identified
remarkable ^jj+atrb+++=remarkable
heterogeneity ^nn+++??+=heterogeneity
on ^in++++=on
neutrophils ^nns+++??+=neutrophils
under ^in++++=under
steady ^jj++++=steady-state
- ^zz++++=EXTRAWORD
state ^nn++++=EXTRAWORD
conditions ^nns++++=conditions
at ^in++++=at
the ^ati++++=the
chromatin ^nn+++??+=chromatin,
, ^zz++++=EXTRAWORD
Rna ^np+++??+=RNA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protein ^nn++++=protein
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
also ^rb++++=also
implied ^vbd+vprv++xvbn+=implied
that ^tht+vcmp+++=that
neutrophil ^nn+++??+=neutrophil
diversity ^nn++++=diversity
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
consequence ^nn++++=consequence
of ^in++++=of
medullary ^nn+++??+=medullary
maturation ^nn++++=maturation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
phenotypic ^nn+++??+=phenotypic
and ^cc++++=and
transcriptional ^jj+atrb++??+=transcriptional
diversity ^nn++++=diversity
was ^vbd+bedz+aux++=was
further ^jjb+pred+++=further
tuned ^vpsv++agls+xvbn+=tuned
when ^wrb+who+++=when
neutrophils ^vbz++++=neutrophils
entered ^vprf+++xvbn+=entered
peripheral ^jj+atrb+++=peripheral
tissues ^nns++++=tissues.
. ^zz++++=EXTRAWORD
