Blood ^nn++++=Blood,
, ^zz++++=EXTRAWORD
lung ^nn++++=lung
and ^cc++++=and
spleen ^nn++++=spleen
neutrophils ^nns+++??+=neutrophils
from ^in++++=from
6 ^zz++++=6-12
- ^zz++++=EXTRAWORD
12 ^cd++++=EXTRAWORD
week ^nn++++=week-old
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
C57bl ^np+++??+=C57BL/6
male ^jj+atrb+++=male
mice ^nns++++=mice
were ^vbd+bed+aux++=were
Facs ^np+++??+=FACS
sorted ^vbd+++xvbn+=sorted
using ^vbg+++xvbg+=using
Cd45 ^np+++??+=CD45,
, ^zz++++=EXTRAWORD
Cd11b ^np+++??+=CD11b,
, ^zz++++=EXTRAWORD
Ly6g ^np+++??+=Ly6G
and ^cc++++=and
Dapi ^np+++??+=DAPI
labeling ^nn+++??+=labeling.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
bone ^nn++++=bone
marrow ^nn+++??+=marrow,
, ^zz++++=EXTRAWORD
Ly6g ^np+++??+=Ly6G
+ ^zz++++=+
Cxcr2 ^np+++??+=CXCR2
hi ^uh++++=hi
mature ^jj+atrb+++=mature
neutrophils ^nns+++??+=neutrophils
were ^vbd+bed+aux++=were
sorted ^vpsv++agls+xvbnx+=sorted.
. ^zz++++=EXTRAWORD
All ^abn++++=All
sorted ^jj+atrb++xvbn+=sorted
samples ^nns++++=samples
had ^vb+hv+vrb++=had
with ^in++++=with
typical ^jj+atrb+++=typical
purities ^nns+++??+=purities
> ^zz++++=>
95 ^cd++++=95%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cell ^nn++++=Cell
processing ^vwbg+++xvbg+=processing
for ^in++++=for
Atac ^np+++??+=ATAC-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described
( ^zz++++=(
Buenrostro ^np++++=Buenrostro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
10 ^cd++++=10.
. ^zz++++=EXTRAWORD
Buenrostro ^np+++??+=Buenrostro,
, ^zz++++=EXTRAWORD
J.d ^np++++=J.D.
. ^zz++++=EXTRAWORD
Giresi ^np+++??+=Giresi,
, ^zz++++=EXTRAWORD
P.g ^np+++??+=P.G.
. ^zz++++=EXTRAWORD
Zaba ^np+++??+=Zaba,
, ^zz++++=EXTRAWORD
L.c ^np+++??+=L.C.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Transposition ^nn++++=Transposition
of ^in++++=of
native ^jj+atrb+++=native
chromatin ^nn+++??+=chromatin
for ^in++++=for
fast ^jj+atrb+++=fast
and ^cc+phrs+++=and
sensitive ^jj+atrb+++=sensitive
epigenomic ^nn+++??+=epigenomic
profiling ^nn+++??+=profiling
of ^in++++=of
open ^jj+atrb+++=open
chromatin ^nn+++??+=chromatin,
, ^zz++++=EXTRAWORD
Dna ^np+++??+=DNA-binding
- ^zz++++=EXTRAWORD
binding ^jj+atrb+++=EXTRAWORD
proteins ^nns+++??+=proteins
and ^cc++++=and
nucleosome ^jj+atrb++??+=nucleosome
position ^nn++++=position
Nat ^np++++=Nat
Methods ^nns++++=Methods.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
10 ^cd++++=10
: ^zz++++=:1213-1218
1213 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1218 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(4008)
4008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Briefly ^rb+cnj+++=Briefly,
, ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
size ^nn++++=size
selected ^vwbn+++xvbn+=selected
using ^vbg+++xvbg+=using
Ampure ^np+++??+=AMPure
Xp ^np+++??+=XP
beads ^nns++++=beads
( ^zz++++=(Beckman-Coulter)
beckman ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coulter ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
yield ^vbi++++=yield
libraries ^nns++++=libraries
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
100 ^cd++++=100
bp ^nn+++??+=bp
1000 ^cd++++=1000
bp ^nn+++??+=bp
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
quality ^nn++++=quality
checked ^vwbn+++xvbn+=checked
for ^in++++=for
nucleosomal ^nn+++??+=nucleosomal
phasing ^nn+++??+=phasing
and ^cc++++=and
size ^nn++++=size
distribution ^nn++++=distribution
using ^vwbg+++xvbg+=using
Dna ^np+++??+=DNA
hi ^uh++++=hi-sensitivity
- ^zz++++=EXTRAWORD
sensitivity ^nn++++=EXTRAWORD
Bioanalyzer ^np+++??+=Bioanalyzer
assay ^nn++++=assay
( ^zz++++=(Agilent).
agilent ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Quantification ^np+++??+=Quantification
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
with ^in++++=with
Kapa ^np+++??+=KAPA
Library ^nn++++=Library
Quantification ^np+++??+=Quantification
Kit ^nn++++=Kit
( ^zz++++=(Illumina)
illumina ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
