Control ^nn++++=Control
or ^cc++++=or
Sp140 ^np+++??+=SP140
sirna ^nn+++??+=siRNA-mediated
- ^zz++++=EXTRAWORD
mediated ^nn+++??+=EXTRAWORD
knockdown ^nn+++??+=knockdown
Thp1 ^np+++??+=THP1
or ^cc++++=or
Crispr ^np+++??+=CRISPR-mediated
- ^zz++++=EXTRAWORD
mediated ^nn+++??+=EXTRAWORD
Sp140 ^np+++??+=Sp140
null ^jj+atrb+++=null
mouse ^nn++++=mouse
immortalized ^vbd+++xvbn+=immortalized
bone ^nn++++=bone
marrow ^nn+++??+=marrow-derived
- ^zz++++=EXTRAWORD
derived ^xvbn+++xvbn+=EXTRAWORD
macrophages ^nns+++??+=macrophages
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
with ^in++++=with
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
formaldehyde ^nn+++??+=formaldehyde
for ^in++++=for
20 ^cd++++=20
mins ^nnus++++=mins
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
permeabilized ^nn+++??+=permeabilized
with ^in++++=with
0.25 ^nn+++??+=0.25%
% ^zz++++=EXTRAWORD
Triton ^np+++??+=Triton
X ^zz++++=X-100,
- ^zz++++=EXTRAWORD
100 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
blocked ^j+++xvbn+=blocked
with ^in++++=with
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
Bsa ^np+++??+=BSA/PBST
and ^cc++++=and
stained ^vpsv++agls+xvbn+=stained
with ^in++++=with
1:500 ^cd++++=1:500
H2ax ^np+++??+=H2AX
antibody ^nn++++=antibody
( ^zz++++=(Abcam)
abcam ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
overnight ^jjb++++=overnight
at ^in++++=at
4 ^zz++++=4
C ^zz++++=C.
. ^zz++++=EXTRAWORD
The ^ati++++=The
samples ^nns++++=samples
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
washed ^vpsv++agls+xvbnx+=washed
the ^ati++++=the
next ^ap++++=next
