Strikingly ^rb+cnj+++=Strikingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
photostimulation ^nn+++??+=photostimulation
in ^in++++=in
the ^ati++++=the
Gtacr2 ^np+++??+=GtACR2
mice ^nns++++=mice
caused ^vbd+++xvbn+=caused
a ^at++++=a
dramatic ^jj+atrb+++=dramatic
reduction ^nn++++=reduction
in ^in++++=in
anticipatory ^nn++++=anticipatory
licking ^vwbg+++xvbg+=licking
in ^in++++=in
go ^vb++++=go
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
decreased ^nn++++=decreased
hit ^vbd+++xvbn+=hit
rate ^nn++++=rate
( ^zz++++=(
Figures ^np++++=Figures
2 ^zz++++=2
J ^zz++++=J
2l ^cd++++=2L).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
mice ^nns++++=mice
were ^vbd+bed+aux++=were
not ^xnot++not++=not
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
the ^ati++++=the
laser ^nn+++??+=laser
in ^in++++=in
no ^at++++=no-go
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
because ^cs+cos+++=because
licking ^vbg+++xvbg+=licking
was ^vbd+bedz+vrb++=was
rare ^jj+pred+++=rare
in ^in++++=in
these ^dt+dem+++=these
trials ^nns++++=trials
to ^to++++=to
begin ^vbi++++=begin
with ^in+strn+++=with.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
expected ^vbd+vprv++xvbn+=expected,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mcherry ^nn+++??+=mCherry
mice ^nns++++=mice
were ^vbd+bed+aux++=were
not ^xnot++not++=not
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
the ^ati++++=the
laser ^nn+++??+=laser
in ^in++++=in
either ^dtx++++=either
go ^vb++++=go
or ^cc++++=or
no ^at++++=no-go
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
trials ^nns++++=trials
( ^zz++++=(
Figure ^np++++=Figure
2 ^zz++++=2
L ^zz++++=L).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
the ^ati++++=the
Gtacr2 ^np+++??+=GtACR2
mice ^nns++++=mice
had ^vbd+hvd+aux++=had
started ^vprf+++xvbnx+=started
licking ^vbg+++xvbg+=licking
in ^in++++=in
a ^at++++=a
continuous ^nn++++=continuous
licking ^vwbg+++xvbg+=licking
task ^nn++++=task,
, ^zz++++=EXTRAWORD
the ^ati++++=the
photostimulation ^nn+++??+=photostimulation
had ^vb+hv+vrb++=had
no ^at++++=no
effect ^nn++++=effect
on ^in++++=on
the ^ati++++=the
on ^in++++=on-going
- ^zz++++=EXTRAWORD
going ^xvbg+++xvbg+=EXTRAWORD
licking ^vbg+++xvbg+=licking
behavior ^nn++++=behavior
( ^zz++++=(
Figures ^np++++=Figures
2 ^zz++++=2
M ^zz++++=M
and ^cc++++=and
2n ^cd++++=2N).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
inhibiting ^jj+atrb+++=inhibiting
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
neurons ^nns+++??+=neurons
impairs ^nns+++??+=impairs
the ^ati++++=the
anticipatory ^nn++++=anticipatory
licking ^xvbg+++xvbg+=licking
needed ^vbd+++xvbn+=needed
for ^in++++=for
obtaining ^xvbg+++xvbg+=obtaining
reward ^nn++++=reward,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
does ^vbz+doz+aux++=does
not ^xnot++not++=not
affect ^vb++++=affect
the ^ati++++=the
motor ^nn++++=motor
program ^nn++++=program
underlying ^jj++++=underlying
licking ^vbg+++xvbg+=licking
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
