Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
address ^nn++++=address
this ^dt+dem+++=this
by ^in++++=by
reconstructing ^nn+++??+=reconstructing
how ^wrb+who+++=how
a ^at++++=a
new ^jj+atrb+++=new
gene ^np++++=gene
regulatory ^nn+++??+=regulatory
program ^nn+++??+=program
could ^md+pos+++=could
emerge ^vb++++=emerge
during ^in++++=during
evolution ^nn++++=evolution
within ^in++++=within
a ^at++++=a
more ^rbr++++=more
ancient ^jj+atrb+++=ancient
Tad ^np+++??+=TAD
without ^in++++=without
disrupting ^xvbg+++xvbg+=disrupting
its ^pp$+it+++=its
prior ^jj+atrb+++=prior
activities ^nns++++=activities.
. ^zz++++=EXTRAWORD
By ^in++++=By
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
Zfp42 ^np+++??+=Zfp42
Fat1 ^np+++??+=Fat1
locus ^nn++++=locus,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
a ^at++++=a
300 ^cd++++=300-kb
- ^zz++++=EXTRAWORD
kb ^nn+++??+=EXTRAWORD
region ^nn++++=region
encompassing ^nn+++??+=encompassing
the ^ati++++=the
Zfp42 ^np+++??+=Zfp42
gene ^np++++=gene
emerged ^vbd+++xvbn+=emerged
within ^in++++=within
Fat1 ^np+++??+=Fat1
s ^zz++++=s
ancient ^jj+atrb+++=ancient
Tad ^np+++??+=TAD
in ^in++++=in
placental ^nn+++??+=placental
mammals ^nns++++=mammals.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
find ^vb+vprv+++=find
two ^cd++++=two
mechanisms ^nns++++=mechanisms
that ^tht+rel+subj++=that
enabled ^vprf+++xvbn+=enabled
independent ^jj+atrb+++=independent
Zfp42 ^np+++??+=Zfp42
regulation ^nn++++=regulation
while ^cs+sub+++=while
maintaining ^xvbg+++xvbg+=maintaining
conserved ^vbd+++xvbn+=conserved
Fat1 ^np+++??+=Fat1
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
In ^in++++=In
embryonic ^nn+++??+=embryonic
stem ^nn++++=stem
cells ^nns++++=cells
( ^zz++++=(ESCs),
escs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Tad ^np+++??+=TAD
is ^vbz+bez+aux++=is
partitioned ^vwbn+++xvbn+=partitioned
to ^in++++=to
physically ^rb++++=physically
separate ^jj+atrb+++=separate
Zfp42 ^np+++??+=Zfp42
and ^cc++++=and
Fat1 ^np+++??+=Fat1
with ^in++++=with
distinct ^jj+atrb+++=distinct
enhancers ^nns+++??+=enhancers
in ^in++++=in
smaller ^jjr+atrb+++=smaller
domains ^nns++++=domains,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
driving ^vbg+++xvbg+=driving
their ^pp$+pp3+++=their
independent ^jj+atrb+++=independent
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
embryonic ^nn+++??+=embryonic
limbs ^nns++++=limbs,
, ^zz++++=EXTRAWORD
Zfp42 ^np+++??+=Zfp42
is ^vbz+bez+aux++=is
rendered ^vpsv++agls+xvbnx+=rendered
inert ^jj++++=inert
to ^in++++=to
Fat1 ^np+++??+=Fat1
enhancers ^nns+++??+=enhancers
that ^tht+rel+obj++=that
it ^pp3+it+++=it
contacts ^nns++++=contacts
within ^in++++=within
the ^ati++++=the
intact ^jj+atrb+++=intact
ancient ^jj+atrb+++=ancient
Tad ^np+++??+=TAD
by ^in++++=by
highly ^rb+amp+++=highly
context ^nn++++=context-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
Dna ^np+++??+=DNA
methylation ^nn+++??+=methylation.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
multiple ^jj+atrb+++=multiple
novel ^nn++++=novel
expression ^nn++++=expression
programs ^nns+++??+=programs
can ^md+pos+++=can
be ^vb+be+aux++=be
incorporated ^vpsv++agls+xvbnx+=incorporated
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
locus ^nn++++=locus
during ^in++++=during
evolution ^nn++++=evolution
through ^in++++=through
at ^rb++++=at
least ^rbt++++=least
restructuring ^nn+++??+=restructuring
3d ^cd++++=3D-chromatin
- ^zz++++=EXTRAWORD
chromatin ^nn+++??+=EXTRAWORD
landscapes ^nns++++=landscapes
and ^cc++++=and
selective ^jj+atrb+++=selective
promoter ^nn++++=promoter
silencing ^nn++++=silencing.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
demonstrate ^vb+vprv+++=demonstrate
generalizable ^jj+atrb++??+=generalizable
principles ^nns++++=principles
of ^in++++=of
how ^wrb+who+++=how
the ^ati++++=the
genome ^nn+++??+=genome
resolves ^vbz++++=resolves
regulatory ^nn+++??+=regulatory
conflicts ^nns++++=conflicts
that ^tht+rel+subj++=that
inevitably ^rb++++=inevitably
arise ^vb++++=arise
in ^in++++=in
development ^nn++++=development
and ^cc++++=and
evolution ^nn++++=evolution.
. ^zz++++=EXTRAWORD
