Remarkably ^rb+cnj+++=Remarkably,
, ^zz++++=EXTRAWORD
transient ^jj+atrb+++=transient
treatment ^nn++++=treatment
of ^in++++=of
Epz ^np+++??+=EPZ
before ^in++++=before
intra ^rb++++=intra-cardiac
- ^zz++++=EXTRAWORD
cardiac ^jj+atrb+++=EXTRAWORD
injection ^nn++++=injection,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
suppress ^vb++++=suppress
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
tumor ^nn+++??+=tumor
cells ^nns++++=cells
in ^in++++=in
vitro ^nn+++??+=vitro
( ^zz++++=(
Figure ^np++++=Figure
S7 ^np+++??+=S7
F ^zz++++=F),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
completely ^rb+amp+++=completely
abolished ^vbd+++xvbn+=abolished
the ^ati++++=the
enhanced ^jj+atrb++xvbn+=enhanced
metastasis ^nns+++??+=metastasis
of ^in++++=of
bone ^nn++++=bone-entrained
- ^zz++++=EXTRAWORD
entrained ^nn+++??+=EXTRAWORD
Scp21 ^np+++??+=SCP21
cells ^nns++++=cells
( ^zz++++=(
Figures ^np++++=Figures
7 ^zz++++=7
E ^zz++++=E
7g ^cd++++=7G)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Mcf7 ^np+++??+=MCF7-SCP2
- ^zz++++=EXTRAWORD
scp2 ^nn+++??+=EXTRAWORD
cells ^nns++++=cells
( ^zz++++=(
Figures ^np++++=Figures
7 ^zz++++=7
H ^zz++++=H
7k ^cd++++=7K)
) ^zz++++=EXTRAWORD
in ^in++++=in
vivo ^rb"++++=vivo
, ^zz++++=,
again ^rb+tm+++=again
demonstrating ^vbg+++xvbg+=demonstrating
that ^tht+vcmp+++=that
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
effects ^nns++++=effects
of ^in++++=of
bone ^nn++++=bone
microenvironment ^nn+++??+=microenvironment
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
through ^in++++=through
clonal ^nn+++??+=clonal
selection ^nn++++=selection,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
epigenomic ^nn++++=epigenomic
reprogramming ^nn++++=reprogramming
driven ^vpsv++by+xvbn+=driven
by ^in++++=by
ezh2 ^np++++=EZH2.
. ^zz++++=EXTRAWORD
