Self ^nn++++=Self-synteny
- ^zz++++=EXTRAWORD
synteny ^nn+++??+=EXTRAWORD
analyses ^nns++++=analyses
shown ^vbd+vprv++xvbn+=shown
in ^in++++=in
Figures ^nns++++=Figures
S1 ^np+++??+=S1
D ^zz++++=D,
, ^zz++++=EXTRAWORD
S1e ^np+++??+=S1E,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S3 ^np+++??+=S3
A ^at++++=A
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
with ^in++++=with
Symap ^np+++??+=SyMAP
v ^zz++++=v.
. ^zz++++=EXTRAWORD
5.0.6 ^cd++++=5.0.6
( ^zz++++=(
Soderlund ^np++++=Soderlund
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
91 ^cd++++=91.
. ^zz++++=EXTRAWORD
Soderlund ^np+++??+=Soderlund,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Nelson ^np++++=Nelson,
, ^zz++++=EXTRAWORD
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Shoemaker ^nn++++=Shoemaker,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Symap ^np+++??+=SyMAP:
: ^zz++++=EXTRAWORD
A ^at++++=A
system ^nn++++=system
for ^in++++=for
discovering ^xvbg+++xvbg+=discovering
and ^cc++++=and
viewing ^xvbg+++xvbg+=viewing
syntenic ^nn+++??+=syntenic
regions ^nns++++=regions
of ^in++++=of
Fpc ^np+++??+=FPC
maps ^nns++++=maps
Genome ^np+++??+=Genome
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
16 ^cd++++=16
: ^zz++++=:1159-1168
1159 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1168 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(126)
126 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
, ^zz++++=,
2011 ^cd++++=2011
90 ^cd++++=90.
. ^zz++++=EXTRAWORD
Soderlund ^np+++??+=Soderlund,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Bomhoff ^np+++??+=Bomhoff,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Nelson ^np++++=Nelson,
, ^zz++++=EXTRAWORD
W.m ^np+++??+=W.M.
. ^zz++++=EXTRAWORD
Symap ^np+++??+=SyMAP
v3.4 ^nn+++??+=v3.4:
: ^zz++++=EXTRAWORD
a ^at++++=a
turnkey ^nn+++??+=turnkey
synteny ^nn+++??+=synteny
system ^nn++++=system
with ^in++++=with
application ^nn++++=application
to ^in++++=to
plant ^nn++++=plant
genomes ^nns+++??+=genomes
Nucleic ^np+++??+=Nucleic
Acids ^np+++??+=Acids
Res ^np+++??+=Res.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
39 ^cd++++=39
: ^zz++++=:e68
e68 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
