Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
coordinate ^vb++++=coordinate
information ^nn++++=information
of ^in++++=of
9,227 ^cd++++=9,227
orthologs ^nns+++??+=orthologs
in ^in++++=in
all ^rb++++=all
six ^cd++++=six
marsupial ^nn+++??+=marsupial
species ^nns++++=species,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
extracted ^vbd+++xvbn+=extracted
the ^ati++++=the
exon ^nn+++??+=exon
blocks ^nns++++=blocks
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
shared ^vpsv++agls+xvbnx+=shared
among ^in++++=among
all ^abn++++=all
marsupial ^nn+++??+=marsupial
species ^nns++++=species
from ^in++++=from
the ^ati++++=the
Wgas ^np+++??+=WGAs.
. ^zz++++=EXTRAWORD
In ^in++++=In
total ^nn++++=total,
, ^zz++++=EXTRAWORD
7,471 ^cd++++=7,471
of ^in++++=of
9,227 ^cd++++=9,227
orthologs ^nns+++??+=orthologs
( ^zz++++=(81%)
81 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
at ^rb++++=at
least ^ql++++=least
one ^cd1++++=one
exon ^nn+++??+=exon
block ^nn++++=block
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
qualified ^vpsv++agls+xvbnx+=qualified
for ^in++++=for
topology ^nn++++=topology
inference ^nn++++=inference.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
considered ^vbd+vprv++xvbn+=considered
an ^at++++=an
exon ^nn+++??+=exon
block ^nn++++=block
as ^cs+sub+++=as
qualified ^vbd+++xvbn+=qualified
when ^wrb+who+++=when
it ^pp3+it+++=it
met ^vbd+++xvbn+=met
the ^ati++++=the
following ^jj+atrb++xvbg+=following
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
a ^at++++=a)
) ^zz++++=EXTRAWORD
alignment ^nn++++=alignment
consists ^vbz++++=consists
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
four ^cd++++=four
different ^jj+atrb+++=different
haplotypes ^nns+++??+=haplotypes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
b ^zz++++=b)
) ^zz++++=EXTRAWORD
constant ^jj+atrb+++=constant
sites ^nns++++=sites
< ^zz++++=<
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
or ^cc++++=or
< ^zz++++=<
70bp ^cd++++=70bp.
. ^zz++++=EXTRAWORD
Iq ^nn++++=IQ-TREE
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
v1.6.12 ^nn+++??+=v1.6.12
with ^in++++=with
the ^ati++++=the
Modelfinder ^np+++??+=ModelFinder
function ^nn++++=function
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
infer ^vb++++=infer
the ^ati++++=the
topologies ^nns+++??+=topologies
from ^in++++=from
these ^dt+dem+++=these
exon ^nn+++??+=exon
blocks ^nns++++=blocks
and ^cc++++=and
we ^pp1a+pp1+++=we
only ^ap+down+++=only
kept ^vprf+++xvbn+=kept
the ^ati++++=the
gene ^np++++=gene
trees ^nns++++=trees
inferred ^vbd+++xvbn+=inferred
from ^in++++=from
those ^dt+dem+++=those
windows ^nns++++=windows
that ^tht+rel+subj++=that
passed ^vprf+++xvbn+=passed
the ^ati++++=the
composition ^nn++++=composition
Chi ^np+++??+=Chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
test ^nn++++=test.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ran ^vbd+++xvbn+=ran
Treeshrink ^np+++??+=TreeShrink
v1.3.7 ^nn+++??+=v1.3.7
( ^zz++++=(
Mai ^np++++=Mai
and ^cc++++=and
Mirarab ^np+++??+=Mirarab,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
62 ^cd++++=62.
. ^zz++++=EXTRAWORD
Mai ^np+++??+=Mai,
, ^zz++++=EXTRAWORD
U ^zz++++=U.
. ^zz++++=EXTRAWORD
Mirarab ^np+++??+=Mirarab,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Treeshrink ^np+++??+=TreeShrink:
: ^zz++++=EXTRAWORD
fast ^rb++++=fast
and ^cc++++=and
accurate ^jj+atrb+++=accurate
detection ^nn++++=detection
of ^in++++=of
outlier ^nn+++??+=outlier
long ^rb++++=long
branches ^nns++++=branches
in ^in++++=in
collections ^nns++++=collections
of ^in++++=of
phylogenetic ^jj+atrb+++=phylogenetic
trees ^nns++++=trees
Bmc ^np+++??+=BMC
Genom ^np+++??+=Genom.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
19 ^cd++++=19
: ^zz++++=:272
272 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(0)
0 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
to ^to++++=to
detect ^vbi++++=detect
and ^cc++++=and
filter ^nn++++=filter
out ^rp+pl+++=out
the ^ati++++=the
inferred ^jj+++xvbn+=inferred
gene ^np++++=gene
trees ^nns++++=trees
with ^in++++=with
unexpectedly ^rb++++=unexpectedly
long ^jj+atrb+++=long
branches ^nns++++=branches
caused ^vwbn+++xvbn+=caused
by ^in++++=by
the ^ati++++=the
erroneous ^jj+atrb+++=erroneous
sequences ^nns++++=sequences
in ^in++++=in
any ^dti++++=any
species ^nn++++=species
of ^in++++=of
monito ^nn+++??+=monito
del ^&fw++++=del
monte ^np++++=monte,
, ^zz++++=EXTRAWORD
two ^cd++++=two
diprotodontian ^nn+++??+=diprotodontian
species ^nns++++=species,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
two ^cd++++=two
dasyuromorphian ^nn+++??+=dasyuromorphian
species ^nns++++=species.
. ^zz++++=EXTRAWORD
In ^in++++=In
total ^nn++++=total,
, ^zz++++=EXTRAWORD
22,743 ^cd++++=22,743
exon ^nn+++??+=exon
blocks ^nns++++=blocks
with ^in++++=with
an ^at++++=an
average ^jj++++=average
length ^rb++++=length
of ^in++++=of
281 ^cd++++=281
bp ^nn+++??+=bp
were ^vbd+bed+aux++=were
retained ^vpsv++agls+xvbnx+=retained
and ^cc++++=and
Discovista ^np+++??+=DiscoVista
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
applied ^vpsv++agls+xvbnx+=applied
to ^to++++=to
measure ^vbi++++=measure
the ^ati++++=the
phylogenetic ^jj+atrb+++=phylogenetic
discordance ^nn+++??+=discordance
at ^rb++++=at
the ^ati++++=the
Mrca ^np+++??+=MRCA
of ^in++++=of
the ^ati++++=the
monito ^nn+++??+=monito
del ^&fw++++=del
monte ^np++++=monte,
, ^zz++++=EXTRAWORD
diprotodontian ^nn+++??+=diprotodontian
and ^cc++++=and
dasyuromorphian ^nn++++=dasyuromorphian
species ^nns++++=species
based ^xvbn+++xvbn+=based
on ^in++++=on
these ^dt+dem+++=these
gene ^np++++=gene
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
