Vrml2 ^np+++??+=VRML2
files ^nns++++=files
containing ^vwbg+++xvbg+=containing
surfaces ^nns++++=surfaces
of ^in++++=of
chromocenters ^nn++++=chromocenters
generated ^vwbn+++xvbn+=generated
by ^in++++=by
Imaris ^np+++??+=Imaris
9.5 ^cd++++=9.5
were ^vbd+bed+aux++=were
imported ^vpsv++agls+xvbnx+=imported
in ^in++++=in
Blender ^np+++??+=Blender
and ^cc++++=and
ray ^np++++=ray-traced
- ^zz++++=EXTRAWORD
traced ^vpsv++agls+xvbn+=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
cycles ^nns++++=cycles
render ^vb++++=render
engine ^nn++++=engine.
. ^zz++++=EXTRAWORD
