Briefly ^rb+cnj+++=Briefly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
256 ^cd++++=256
2 ^zz++++=2
10 ^cd++++=10
6 ^zz++++=6
kymograph ^nn+++??+=kymograph
is ^vbz+bez+aux++=is
corrected ^vpsv++agls+xvbnx+=corrected
for ^in++++=for
drifts ^nns++++=drifts
and ^cc++++=and
slow ^jj+atrb+++=slow
fluctuations ^nns++++=fluctuations
using ^vwbg+++xvbg+=using
a ^at++++=a
random ^jj+atrb+++=random
number ^nn++++=number
addition ^nn++++=addition
detrending ^nn+++??+=detrending,
, ^zz++++=EXTRAWORD
within ^in++++=within
a ^at++++=a
moving ^jj+atrb++xvbg+=moving
window ^nn++++=window
of ^in++++=of
approximately ^rb+down+++=approximately
250 ^cd++++=250
10 ^cd++++=10
3 ^zz++++=3
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
corresponds ^vbz++++=corresponds
to ^to++++=to
about ^rp++++=about
20 ^cd++++=20
s ^zz++++=s.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fast ^jj+atrb+++=fast
Fourier ^np++++=Fourier
transform ^vb++++=transform
( ^zz++++=(FFT)
fft ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
its ^pp$+it+++=its
complex ^jj+atrb+++=complex
conjugate ^nn++++=conjugate
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
calculated ^vpsv++agls+xvbnx+=calculated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
product ^nn++++=product
was ^vbd+bedz+vrb++=was
inverse ^jj+atrb+++=inverse
Ffted ^np+++??+=FFTed
to ^to++++=to
yield ^vbi++++=yield
the ^ati++++=the
autocorrelation ^nn+++??+=autocorrelation
function ^nn++++=function
of ^in++++=of
the ^ati++++=the
kymograph ^nn+++??+=kymograph,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely
the ^ati++++=the
Stics ^np+++??+=STICS
function ^nn++++=function.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
a ^at++++=a
custom ^nn++++=custom
algorithm ^jj+++??+=algorithm
written ^jj+++xvbn+=written
in ^in++++=in
Igor ^np+++??+=IGOR
Pro ^nn++++=Pro
( ^zz++++=(WaveMetrics),
wavemetrics ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described
( ^zz++++=(
Serfling ^np++++=Serfling
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
40 ^cd++++=40.
. ^zz++++=EXTRAWORD
Serfling ^np+++??+=Serfling,
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Seidel ^np+++??+=Seidel,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Bock ^np+++??+=Bock,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Quantitative ^jj++++=Quantitative
Single ^jj++++=Single-Residue
- ^zz++++=EXTRAWORD
residue ^nn++++=EXTRAWORD
Bioorthogonal ^np+++??+=Bioorthogonal
Labeling ^np+++??+=Labeling
of ^in++++=of
G ^zz++++=G
