Original ^nn++++=Original/source
data ^nns++++=data
for ^in++++=for
Condensed ^vbd+++xvbn+=Condensed
chromatin ^nn+++??+=chromatin
behaves ^vbz++++=behaves
like ^in++++=like
a ^at++++=a
solid ^nn++++=solid
on ^in++++=on
the ^ati++++=the
mesoscale ^nn+++??+=mesoscale
in ^in++++=in
vitro ^nn+++??+=vitro
and ^cc++++=and
in ^in++++=in
living ^xvbg+++xvbg+=living
cells ^nns++++=cells
have ^vb+hv+aux++=have
been ^vbd+ben+aux++=been
deposited ^vwbn+++xvbn+=deposited
to ^in++++=to
mendeley ^np++++=Mendeley
data ^nns++++=Data:
: ^zz++++=EXTRAWORD
https ^nns++++=https://dx.doi.org/10.17632/ty2xdkmt42.1
: ^zz++++=EXTRAWORD
. ^zz++++=.
