Cut&run ^np+++??+=CUT&RUN
experiments ^nns++++=experiments
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
as ^cs+sub+++=as
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described
( ^zz++++=(
Skene ^np++++=Skene
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
81 ^cd++++=81.
. ^zz++++=EXTRAWORD
Skene ^np+++??+=Skene,
, ^zz++++=EXTRAWORD
P.j ^np+++??+=P.J.
. ^zz++++=EXTRAWORD
Henikoff ^np+++??+=Henikoff,
, ^zz++++=EXTRAWORD
J.g ^np+++??+=J.G.
. ^zz++++=EXTRAWORD
Henikoff ^np+++??+=Henikoff,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Targeted ^np+++??+=Targeted
in ^in++++=in
situ ^nn++++=situ
genome ^nn+++??+=genome-wide
- ^zz++++=EXTRAWORD
wide ^jj+atrb+++=EXTRAWORD
profiling ^nn+++??+=profiling
with ^in++++=with
high ^jj+atrb+++=high
efficiency ^nn++++=efficiency
for ^in++++=for
low ^jj+atrb+++=low
cell ^nn++++=cell
numbers ^nns++++=numbers
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Protoc ^np+++??+=Protoc.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
13 ^cd++++=13
: ^zz++++=:1006-1019
1006 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1019 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(119)
119 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
with ^in++++=with
modifications ^nns++++=modifications.
. ^zz++++=EXTRAWORD
Briefly ^rb+cnj+++=Briefly,
, ^zz++++=EXTRAWORD
2x10 ^cd++++=2x10
5 ^zz++++=5
sorted ^vbd+++xvbn+=sorted
cells ^nns++++=cells
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
twice ^rb++++=twice
with ^in++++=with
1 ^zz++++=1
ml ^nnu++++=mL
of ^in++++=of
cold ^jj+atrb+++=cold
wash ^nn++++=wash
buffer ^nn++++=buffer
( ^zz++++=(20
20 ^cd++++=EXTRAWORD
mm ^nnu++++=mM
Hepes ^np+++??+=HEPES-NaOH
- ^zz++++=EXTRAWORD
naoh ^nn+++??+=EXTRAWORD
ph ^nn++++=pH
7.5 ^cd++++=7.5,
, ^zz++++=EXTRAWORD
150 ^cd++++=150
mm ^nnu++++=mM
Nacl ^np+++??+=NaCl,
, ^zz++++=EXTRAWORD
0.5 ^nn+++??+=0.5
mm ^nnu++++=mM
Spermidine ^np+++??+=Spermidine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protease ^jj+atrb++??+=protease
inhibitor ^nn++++=inhibitor
cocktails ^nns++++=cocktails
from ^in++++=from
Sigma ^np+++??+=Sigma)
) ^zz++++=EXTRAWORD
in ^in++++=in
1.5ml ^cd++++=1.5ml
tubes ^nns++++=tubes.
. ^zz++++=EXTRAWORD
Cells ^nns++++=Cells
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
resuspended ^nn+++??+=resuspended
in ^in++++=in
1 ^zz++++=1
ml ^nnu++++=mL
of ^in++++=of
cold ^jj+atrb+++=cold
wash ^nn++++=wash
buffer ^nn++++=buffer
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
