Paired ^vbd+++xvbn+=Paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
to ^in++++=to
mm10 ^nn+++??+=mm10
reference ^nn++++=reference
genome ^nn+++??+=genome
using ^vwbg+++xvbg+=using
Bowtie2 ^np+++??+=Bowtie2
v2.3.4.1 ^nn+++??+=v2.3.4.1
with ^in++++=with
options ^nn++++=options
suggested ^vwbn+vpub++xvbn+=suggested
by ^in++++=by
Skene ^np+++??+=Skene
and ^cc++++=and
Henikoff ^np+++??+=Henikoff
( ^zz++++=(
Skene ^np++++=Skene
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
81 ^cd++++=81.
. ^zz++++=EXTRAWORD
Skene ^np+++??+=Skene,
, ^zz++++=EXTRAWORD
P.j ^np+++??+=P.J.
. ^zz++++=EXTRAWORD
Henikoff ^np+++??+=Henikoff,
, ^zz++++=EXTRAWORD
J.g ^np+++??+=J.G.
. ^zz++++=EXTRAWORD
Henikoff ^np+++??+=Henikoff,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Targeted ^np+++??+=Targeted
in ^in++++=in
situ ^nn++++=situ
genome ^nn+++??+=genome-wide
- ^zz++++=EXTRAWORD
wide ^jj+atrb+++=EXTRAWORD
profiling ^nn+++??+=profiling
with ^in++++=with
high ^jj+atrb+++=high
efficiency ^nn++++=efficiency
for ^in++++=for
low ^jj+atrb+++=low
cell ^nn++++=cell
numbers ^nns++++=numbers
Nat ^np++++=Nat.
. ^zz++++=EXTRAWORD
Protoc ^np+++??+=Protoc.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
13 ^cd++++=13
: ^zz++++=:1006-1019
1006 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1019 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(119)
119 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Picard ^np+++??+=Picard
tools ^nns++++=tools
v1.96 ^nn+++??+=v1.96
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
remove ^vb++++=remove
presumed ^vbd+vprv++xvbn+=presumed
