For ^in++++=For
sorting ^xvbg+++xvbg+=sorting
Rv ^np+++??+=RV
+ ^zz++++=+
cells ^nns++++=cells
optimized ^nn+++??+=optimized
sorting ^vwbg+++xvbg+=sorting
in ^in++++=in
the ^ati++++=the
transfer ^nn++++=transfer
experiments ^nns++++=experiments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Bd ^np+++??+=BD
Aria ^nn++++=Aria
Sorter ^nn++++=Sorter
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
at ^rb++++=at
37 ^cd++++=37
C ^zz++++=C
and ^cc++++=and
100 ^cd++++=100-micron
- ^zz++++=EXTRAWORD
micron ^nn+++??+=EXTRAWORD
nozzle ^nn++++=nozzle,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
flow ^nn++++=flow
rate ^nn++++=rate
lower ^jjr++++=lower
than ^in++++=than
3.0 ^cd++++=3.0.
. ^zz++++=EXTRAWORD
3 ^zz++++=3
X ^zz++++=X
10 ^cd++++=10
6 ^zz++++=6
Cells ^nns++++=Cells
are ^vb+ber+aux++=are
concentrated ^vpsv++agls+xvbnx+=concentrated
in ^in++++=in
300ul ^cd++++=300ul
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
complete ^jj+atrb+++=complete
Rpmi ^np+++??+=RPMI
with ^in++++=with
100 ^cd++++=100
U ^zz++++=U/mL
recombinant ^nn+++??+=recombinant
human ^jj++++=human
Il ^&fw++++=IL-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
during ^in++++=during
sorting ^xvbg+++xvbg+=sorting.
. ^zz++++=EXTRAWORD
37 ^cd++++=37
C ^zz++++=C
pre ^nn+++??+=pre-warmed
- ^zz++++=EXTRAWORD
warmed ^vbd+++xvbn+=EXTRAWORD
collection ^nn++++=collection
tubes ^nns++++=tubes
with ^in++++=with
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
complete ^jj+atrb+++=complete
Rpmi ^np+++??+=RPMI
( ^zz++++=(100
100 ^cd++++=EXTRAWORD
U ^zz++++=U/ml
Il ^&fw++++=IL-2)
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
Sorted ^jj+atrb++xvbn+=Sorted
cells ^nns++++=cells
are ^vb+ber+aux++=are
washed ^vpsv++by+xvbnx+=washed
by ^in++++=by
37 ^cd++++=37
c ^zz++++=C
warm ^jj+atrb+++=warm
pure ^jj+atrb+++=pure
rpmi ^np++++=RPMI
before ^in++++=before
transferring ^nn++++=transferring
into ^in++++=into
recipients ^nns++++=recipients.
. ^zz++++=EXTRAWORD
