Original ^nn++++=Original
data ^nns++++=data
for ^in++++=for
Figures ^nns++++=Figures
2a ^cd++++=2A,
, ^zz++++=EXTRAWORD
2b ^cd++++=2B,
, ^zz++++=EXTRAWORD
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
4a ^cd++++=4A,
, ^zz++++=EXTRAWORD
4b ^cd++++=4B,
, ^zz++++=EXTRAWORD
5a ^cd++++=5A-5C,
- ^zz++++=EXTRAWORD
5c ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
S2 ^np+++??+=S2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S3 ^np+++??+=S3
have ^vb+hv+aux++=have
been ^vbd+ben+aux++=been
deposited ^vwbn+++xvbn+=deposited
to ^in++++=to
mendeley ^np++++=Mendeley
data ^nns++++=Data:
: ^zz++++=EXTRAWORD
http ^nn++++=http://dx.doi.org/10.17632/hkg5wjv9ry.2
: ^zz++++=EXTRAWORD
. ^zz++++=.
