Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
long ^jj++++=long-range,
- ^zz++++=EXTRAWORD
range ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
extended ^jj+atrb++xvbn+=extended
densities ^nns++++=densities
for ^in++++=for
N ^zz++++=N-linked
- ^zz++++=EXTRAWORD
linked ^xvbn+++xvbn+=EXTRAWORD
glycans ^nns+++??+=glycans
are ^vb+ber+aux++=are
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
gp120 ^nn+++??+=gp120
domain ^nn++++=domain
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
residues ^nns++++=residues
N262 ^np+++??+=N262
and ^cc++++=and
N448 ^np+++??+=N448,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
in ^in++++=in
the ^ati++++=the
gp41 ^nn+++??+=gp41
domain ^nn++++=domain
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
residues ^nns++++=residues
N611 ^np+++??+=N611
and ^cc++++=and
N637 ^np+++??+=N637.
. ^zz++++=EXTRAWORD
The ^ati++++=The
close ^jj+atrb+++=close
spacing ^nn++++=spacing
of ^in++++=of
N262 ^np+++??+=N262/N448
to ^in++++=to
N611 ^np+++??+=N611
likely ^jj+atrb+++=likely
orders ^nns++++=orders
these ^dt+dem+++=these
glycans ^nns+++??+=glycans
to ^to++++=to
be ^vbi++vrb++=be
visible ^jj+pred+++=visible
in ^in++++=in
the ^ati++++=the
averaged ^nn++++=averaged
map ^vb++++=map
( ^zz++++=(
Figures ^np++++=Figures
6 ^zz++++=6
A ^at++++=A
and ^cc++++=and
6c ^cd++++=6C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Collectively ^np+++??+=Collectively,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
glycans ^nns+++??+=glycans
form ^nn++++=form
a ^at++++=a
protective ^jj+atrb+++=protective
barrier ^nn++++=barrier
over ^in++++=over
the ^ati++++=the
fusion ^nn++++=fusion
peptide ^nn+++??+=peptide
( ^zz++++=(FP)
fp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
hvlp ^nn+++??+=hVLP-Env
- ^zz++++=EXTRAWORD
env ^nn+++??+=EXTRAWORD
( ^zz++++=(
Figure ^np++++=Figure
6 ^zz++++=6
C ^zz++++=C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Env ^np+++??+=Env
s ^zz++++=s
Fp ^np+++??+=FP
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
viral ^nn+++??+=viral
cell ^nn++++=cell
entry ^nn++++=entry
but ^cc++++=but
is ^vbz+bez+aux++=is
surprisingly ^rb++splt++=surprisingly
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
solution ^nn++++=solution
and ^cc++++=and
highly ^rb+amp+++=highly
dynamic ^jj++++=dynamic
by ^in++++=by
Hdx ^np+++??+=HDX-MS
- ^zz++++=EXTRAWORD
ms ^nn++++=EXTRAWORD
analysis ^nn++++=analysis
( ^zz++++=(
Figure ^np++++=Figure
5 ^zz++++=5
C ^zz++++=C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mapping ^nn++++=Mapping
the ^ati++++=the
Fab ^np+++??+=Fab
structure ^nn++++=structure
of ^in++++=of
Fp ^np+++??+=FP-targeting
- ^zz++++=EXTRAWORD
targeting ^nn+++??+=EXTRAWORD
bnab ^nn+++??+=bnAb
Pgt151 ^np+++??+=PGT151
( ^zz++++=(
Lee ^np++++=Lee
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
47 ^cd++++=47.
. ^zz++++=EXTRAWORD
Lee ^nn++++=Lee,
, ^zz++++=EXTRAWORD
J.h ^np+++??+=J.H.
