Together ^rb+cnj+++=Together,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
neuron ^nn+++??+=neuron
activity ^nn++++=activity
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
for ^in++++=for
the ^ati++++=the
volitional ^nn+++??+=volitional
aspect ^nn++++=aspect
of ^in++++=of
reward ^nn++++=reward-seeking
- ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=EXTRAWORD
actions ^nns++++=actions
but ^cc++++=but
is ^vbz+bez+vrb++=is
dispensable ^jj+pred+++=dispensable
for ^in++++=for
motor ^nn++++=motor
functions ^nns++++=functions
or ^cc++++=or
consumption ^nn++++=consumption.
. ^zz++++=EXTRAWORD
