The ^ati++++=The
mab ^nn+++??+=mAb
combination ^nn++++=combination
was ^vbd+bedz+vrb++=was
next ^ap++++=next
tested ^jj+++xvbn+=tested
against ^in++++=against
Ebov ^np+++??+=EBOV
in ^in++++=in
rhesus ^nns+++??+=rhesus
monkeys ^nns++++=monkeys
at ^in++++=at
both ^abx++++=both
high ^jj++++=high
( ^zz++++=(50
50 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/kg;
25 ^cd++++=25
mg ^nnu++++=mg/kg
of ^in++++=of
each ^dt++++=each
antibody ^nn++++=antibody)
) ^zz++++=EXTRAWORD
and ^cc++++=and
low ^jj++++=low
( ^zz++++=(25
25 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/kg;
12.5 ^cd++++=12.5
mg ^nnu++++=mg/kg
of ^in++++=of
each ^dt++++=each
antibody ^nn++++=antibody)
) ^zz++++=EXTRAWORD
doses ^nns++++=doses,
, ^zz++++=EXTRAWORD
administered ^j+++xvbn+=administered
on ^in++++=on
Day ^nn++++=Day
4 ^zz++++=4
and ^cc++++=and
Day ^nn++++=Day
7 ^zz++++=7
post ^nn++++=post-exposure.
- ^zz++++=EXTRAWORD
exposure ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Protection ^nn++++=Protection
from ^in++++=from
severe ^jj+atrb+++=severe
disease ^nn++++=disease
and ^cc++++=and
death ^nn++++=death
was ^vbd+bedz+aux++=was
achieved ^vpsv++agls+xvbnx+=achieved
at ^rb++++=at
both ^abx++++=both
doses ^nns++++=doses
in ^in++++=in
treated ^xvbn+++xvbn+=treated
Nhps ^np+++??+=NHPs
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
mild ^jj+atrb+++=mild
clinical ^jj+atrb+++=clinical
signs ^nns++++=signs
( ^zz++++=(temporary
temporary ^jj+atrb+++=EXTRAWORD
inappetence ^nn+++??+=inappetence,
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
diminished ^jj+atrb++xvbn+=diminished
activity ^nn++++=activity),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
survival ^nn++++=survival,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
mock ^vb++++=mock
( ^zz++++=(PBS)-treated
pbs) ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
treated ^vbd+++xvbn+=EXTRAWORD
exposed ^vwbn+++xvbn+=exposed
control ^nn++++=control
animal ^nn++++=animal
succumbed ^vbd+++xvbn+=succumbed
to ^in++++=to
acute ^jj+atrb+++=acute
disease ^nn++++=disease
on ^in++++=on
Day ^nn++++=Day
8 ^zz++++=8
( ^zz++++=(
Figure ^np++++=Figure
6 ^zz++++=6
B ^zz++++=B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Treated ^xvbn+++xvbn+=Treated
Nhps ^np+++??+=NHPs
in ^in++++=in
both ^abx++++=both
high ^jj++++=high-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
and ^cc++++=and
low ^jj++++=low-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
combination ^nn++++=combination
groups ^nns++++=groups
presented ^vwbn+++xvbn+=presented
with ^in++++=with
similarly ^rb+cnj+++=similarly
mild ^jj+atrb+++=mild
clinical ^jj+atrb+++=clinical
signs ^nns++++=signs
and ^cc++++=and
subtle ^jj++++=subtle
shifts ^vbz++++=shifts
in ^in++++=in
clinical ^jj+atrb+++=clinical
pathology ^nn++++=pathology
blood ^nn++++=blood
parameters ^nns++++=parameters,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
the ^ati++++=the
two ^cd++++=two
treatment ^nn++++=treatment
groups ^nns++++=groups
( ^zz++++=(high-dose
high ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
and ^cc++++=and
low ^jj++++=low-dose)
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
phenotypically ^nn+++??+=phenotypically
indistinguishable ^jj++++=indistinguishable.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
all ^abn++++=all
treated ^jj+++xvbn+=treated
Nhps ^np+++??+=NHPs
cleared ^vwbn+++xvbn+=cleared
Ebov ^np+++??+=EBOV
viremia ^nn+++??+=viremia
by ^in++++=by
Day ^nn++++=Day
12 ^cd++++=12
as ^in++++=as
determined ^nn++++=determined
by ^in++++=by
Rt ^npt++++=RT-qPCR,
- ^zz++++=EXTRAWORD
qpcr ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
amount ^nn++++=amount
of ^in++++=of
Rna ^np+++??+=RNA
remained ^vbd+++xvbn+=remained
detectable ^jj++++=detectable
on ^in++++=on
day ^nn++++=Day
21 ^cd++++=21
( ^zz++++=(
figure ^nn++++=Figure
6 ^zz++++=6
d ^zz++++=D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
