Although ^cs+con+++=Although
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
observe ^vb+vprv+++=observe
clear ^jj+atrb+++=clear
evidence ^nn++++=evidence
of ^in++++=of
liquidity ^nn+++??+=liquidity,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
observe ^vb+vprv+++=observe
motion ^nn++++=motion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
individual ^jj+atrb+++=individual
foci ^nns++++=foci,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represent ^vb++++=represent
regions ^nns++++=regions
of ^in++++=of
chromatin ^nn+++??+=chromatin
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
incorporated ^vprf+++xvbnx+=incorporated
the ^ati++++=the
label ^nn++++=label
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
pulse ^nn++++=pulse
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+vrb++=be
individual ^jj+atrb+++=individual
Tads ^np+++??+=TADs
( ^zz++++=(
Xiang ^np++++=Xiang
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
66 ^cd++++=66.
. ^zz++++=EXTRAWORD
Xiang ^np+++??+=Xiang,
, ^zz++++=EXTRAWORD
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Roberti ^np+++??+=Roberti,
, ^zz++++=EXTRAWORD
M.j ^np+++??+=M.J.
. ^zz++++=EXTRAWORD
H ^zz++++=H
rich ^jj++++=rich
, ^zz++++=,
J.k ^np+++??+=J.K.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Correlative ^jj++++=Correlative
live ^vb++++=live
and ^cc++++=and
super ^jj++++=super-resolution
- ^zz++++=EXTRAWORD
resolution ^nn++++=EXTRAWORD
imaging ^nn+++??+=imaging
reveals ^vbz+vprv+++=reveals
the ^ati++++=the
dynamic ^jj+atrb+++=dynamic
structure ^nn++++=structure
of ^in++++=of
replication ^nn+++??+=replication
domains ^nns++++=domains
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Cell ^nn++++=Cell
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
217 ^cd++++=217
: ^zz++++=:1973-1984
1973 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
1984 ^cd+date+++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(44)
44 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
move ^vb++++=move
in ^in++++=in
x ^zz++++=x,
, ^zz++++=EXTRAWORD
y ^zz++++=y,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
z ^zz++++=z
directions ^nns++++=directions
to ^in++++=to
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
extent ^nn++++=extent
( ^zz++++=(
Video ^np++++=Video
S3 ^np+++??+=S3
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
individual ^jj+atrb+++=individual
foci ^nns++++=foci
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
fully ^rb+amp+splt++=fully
bleached ^vpsv++agls+xvbnx+=bleached
did ^vbd+dod+aux++=did
not ^xnot++not++=not
recover ^vb++++=recover
significant ^jj+atrb+++=significant
amounts ^nns++++=amounts
of ^in++++=of
fluorescence ^nn++++=fluorescence
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
B ^zz++++=B),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
chromatin ^nn+++??+=chromatin
does ^vbz+doz+aux++=does
not ^xnot++not++=not
readily ^rb++++=readily
mix ^vb++++=mix
between ^in++++=between
unbleached ^nn+++??+=unbleached
and ^cc++++=and
partially ^rb+down+++=partially
