Plasmids ^np+++??+=Plasmids
for ^in++++=for
expressing ^xvbg+++xvbg+=expressing
helixcam ^nn+++??+=helixCAM
in ^in++++=in
E ^zz++++=E.
. ^zz++++=EXTRAWORD
coli ^&fw++++=coli
and ^cc++++=and
for ^in++++=for
constructing ^xvbg+++xvbg+=constructing
mammalian ^nn+++??+=mammalian
helixcam ^nn+++??+=helixCAM
cell ^nn++++=cell
lines ^nns++++=lines
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
deposited ^vwbn+++xvbn+=deposited
to ^in++++=to
addgene ^np++++=Addgene
under ^in++++=under
addgene ^np++++=Addgene
ids ^np++++=IDs
186303 ^cd++++=186303
186318 ^cd++++=186318.
. ^zz++++=EXTRAWORD
