Remarkably ^rb+cnj+++=Remarkably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
photostimulation ^nn+++??+=photostimulation
in ^in++++=in
the ^ati++++=the
Chr2 ^np+++??+=ChR2
mice ^nns++++=mice
caused ^vbd+++xvbn+=caused
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
licking ^xvbg+++xvbg+=licking
rate ^nn++++=rate
following ^vwbg+++xvbg+=following
Cs ^np+++??+=CS
presentation ^nn++++=presentation
in ^in++++=in
not ^xnot++not++=not
only ^rb+down+++=only
go ^vb++++=go
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
no ^at++++=no-go
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
trials ^nns++++=trials
( ^zz++++=(
Figures ^np++++=Figures
3 ^zz++++=3
H ^zz++++=H
and ^cc++++=and
3i ^cd++++=3I).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Cr ^&fo++++=CR
rate ^nn++++=rate
was ^vbd+bedz+aux++=was
reduced ^vpsv++agls+xvbnx+=reduced;
; ^zz++++=EXTRAWORD
the ^ati++++=the
hit ^nn+++xvbn+=hit
rate ^nn++++=rate
was ^vbd+bedz+aux++=was
increased ^vpsv++agls+xvbnx+=increased,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
without ^in++++=without
reaching ^xvbg+++xvbg+=reaching
significance ^nn++++=significance
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
ceiling ^nn++++=ceiling
effect ^nn++++=effect
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
0.09 ^nn+++??+=0.09)
) ^zz++++=EXTRAWORD
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
J ^zz++++=J).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
before ^in++++=before
training ^nn++++=training
in ^in++++=in
the ^ati++++=the
task ^nn++++=task,
, ^zz++++=EXTRAWORD
the ^ati++++=the
photostimulation ^nn+++??+=photostimulation
did ^vbd+dod+aux++=did
not ^xnot++not++=not
induce ^vb++++=induce
any ^dti++++=any
licking ^jj+++xvbg+=licking
following ^jj+++xvbg+=following
either ^dtx++++=either
the ^ati++++=the
go ^vb++++=go
or ^cc++++=or
the ^ati++++=the
no ^at++++=no-go
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
even ^rb++++=even
though ^cs+sub+++=though
the ^ati++++=the
mice ^nns++++=mice
were ^vbd+bed+vrb++=were
thirsty ^jj+pred+++=thirsty
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
K ^zz++++=K).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
these ^dt+dem+++=these
mice ^nns++++=mice
were ^vbd+bed+aux++=were
well ^rb++++=well
trained ^vbd+++xvbn+=trained
but ^cc++++=but
quenched ^nn+++??+=quenched,
, ^zz++++=EXTRAWORD
the ^ati++++=the
photostimulation ^nn+++??+=photostimulation
also ^rb++++=also
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
promote ^vbi++++=promote
licking ^vbg+++xvbg+=licking
in ^in++++=in
the ^ati++++=the
task ^nn++++=task
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
L ^zz++++=L).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Gfp ^np+++??+=GFP
mice ^nns++++=mice
were ^vbd+bed+aux++=were
not ^xnot++not++=not
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
the ^ati++++=the
laser ^nn+++??+=laser
( ^zz++++=(
Figure ^np++++=Figure
3 ^zz++++=3
J ^zz++++=J).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
aic ^nn+++??+=aIC
Fezf2 ^np+++??+=Fezf2
Nts ^np+++??+=NTS
activity ^nn++++=activity
invigorates ^nns+++??+=invigorates
the ^ati++++=the
learned ^jj+++xvbn+=learned,
, ^zz++++=EXTRAWORD
anticipatory ^jj+atrb+++=anticipatory
licking ^jj+atrb++xvbg+=licking
response ^nn++++=response
to ^to++++=to
obtain ^vbi++++=obtain
a ^at++++=a
homeostatic ^nn+++??+=homeostatic
need ^nn++++=need;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
override ^vb++++=override
satiety ^jj+atrb++??+=satiety
signals ^nns++++=signals
or ^cc++++=or
autonomously ^rb++++=autonomously
activate ^vb++++=activate
the ^ati++++=the
motor ^nn++++=motor
program ^nn++++=program
to ^in++++=to
generate ^nn++++=generate
licking ^vbg+++xvbg+=licking.
. ^zz++++=EXTRAWORD
