Peripheral ^jj+atrb+++=Peripheral
blood ^nn++++=blood
mononuclear ^nn+++??+=mononuclear
cells ^nns++++=cells
( ^zz++++=(PBMCs)
pbmcs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
isolated ^vpsv++agls+xvbnx+=isolated
from ^in++++=from
up ^rp++++=up
to ^to++++=to
80ml ^cd++++=80ml
of ^in++++=of
anti ^nn+++??+=anti-coagulated
- ^zz++++=EXTRAWORD
coagulated ^vbd+++xvbn+=EXTRAWORD
blood ^nn++++=blood
by ^in++++=by
density ^nn++++=density
centrifugation ^nn+++??+=centrifugation
over ^in++++=over
Lymphoprep ^np+++??+=Lymphoprep
( ^zz++++=(Axis-Shield
axis ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
shield ^nn++++=EXTRAWORD
Poc ^np+++??+=PoC
As ^in+strn+++=AS,
, ^zz++++=EXTRAWORD
Oslo ^np++++=Oslo,
, ^zz++++=EXTRAWORD
Norway ^np++++=Norway)
) ^zz++++=EXTRAWORD
and ^cc++++=and
cryopreserved ^nn+++??+=cryopreserved
in ^in++++=in
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
decomplemented ^nn+++??+=decomplemented
human ^jj+atrb+++=human
antibody ^nn++++=antibody
serum ^nn++++=serum,
, ^zz++++=EXTRAWORD
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
complete ^jj+atrb+++=complete
rmpi ^np++++=RMPI
1640 ^cd+date+++=1640
medium ^jjb++++=medium
and ^cc++++=and
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
dmso ^np++++=DMSO.
. ^zz++++=EXTRAWORD
