Cut&tag ^np+++??+=CUT&Tag
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
according ^in+cmpx+++=according
to ^in++++=to
Epicypher ^np+++??+=Epicypher
protocol ^nn++++=protocol.
. ^zz++++=EXTRAWORD
Briefly ^rb+cnj+++=Briefly,
, ^zz++++=EXTRAWORD
nuclei ^nns++++=nuclei
were ^vbd+bed+aux++=were
isolated ^vpsv++agls+xvbnx+=isolated
from ^in++++=from
100,000 ^cd++++=100,000
primary ^jj+atrb+++=primary
human ^jj+atrb+++=human
macrophages ^nns+++??+=macrophages
and ^cc++++=and
bound ^jj++agls+xvbn+=bound
to ^to+jcmp+++=to
activated ^vb+++??+=activated
magnetic ^jj+atrb+++=magnetic
concanavalin ^nn+++??+=concanavalin
A ^at++++=A
beads ^nns++++=beads
( ^zz++++=(Epicypher).
epicypher ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
bound ^xvbn+++xvbn+=bound
nuclei ^nns++++=nuclei
were ^vbd+bed+aux++=were
incubated ^vpsv++agls+xvbnx+=incubated
with ^in++++=with
primary ^jj+atrb+++=primary
antibody ^nn++++=antibody
overnight ^jjb++++=overnight
at ^in++++=at
4 ^zz++++=4
o ^zz++++=o
C ^zz++++=C.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beads ^nns++++=beads
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
incubated ^vbd+++xvbn+=incubated
with ^in++++=with
secondary ^jj+atrb+++=secondary
antibody ^nn++++=antibody
for ^in++++=for
0.5 ^nn+++??+=0.5
hour ^nn++++=hour
at ^in++++=at
room ^nn++++=room
temperature ^nn++++=temperature.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
washing ^xvbg+++xvbg+=washing
and ^cc++++=and
incubation ^nn++++=incubation
with ^in++++=with
the ^ati++++=the
protein ^nn++++=protein
A ^at++++=A/G
conjugated ^nn+++??+=conjugated
Tn5 ^np+++??+=Tn5
( ^zz++++=(CUTANA
cutana ^nn+++??+=EXTRAWORD
pag ^np++++=pAG-Tn5,
- ^zz++++=EXTRAWORD
tn5 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Epicypher ^np+++??+=Epicypher)
) ^zz++++=EXTRAWORD
enzyme ^nn+++??+=enzyme
for ^in++++=for
one ^cd1++++=one
hour ^nn++++=hour
at ^in++++=at
room ^nn++++=room
temperature ^nn++++=temperature.
. ^zz++++=EXTRAWORD
The ^ati++++=The
enzyme ^nn+++??+=enzyme
bound ^vwbn+++xvbn+=bound
beads ^nns++++=beads
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
washed ^vpsv++agls+xvbnx+=washed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
tagmentation ^jj+atrb++??+=tagmentation
reaction ^nn++++=reaction
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
for ^in++++=for
1 ^zz++++=1
hour ^nn++++=hour
at ^in++++=at
37 ^cd++++=37
o ^zz++++=o
C ^zz++++=C.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reaction ^nn++++=reaction
was ^vbd+bedz+aux++=was
stopped ^vpsv++agls+xvbnx+=stopped
with ^in++++=with
Taps ^vbz++++=TAPS
buffer ^nn++++=buffer
containing ^vwbg+++xvbg+=containing
Edta ^np+++??+=EDTA,
, ^zz++++=EXTRAWORD
released ^xvbn+++xvbn+=released
with ^in++++=with
Sds ^np+++??+=SDS
buffer ^nn++++=buffer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quenched ^nn+++??+=quenched
with ^in++++=with
0.67 ^nn+++??+=0.67%
% ^zz++++=EXTRAWORD
Triton ^np+++??+=Triton
X ^zz++++=X-100
- ^zz++++=EXTRAWORD
100 ^cd++++=EXTRAWORD
solution ^nn++++=solution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
released ^jj+++xvbn+=released
Dna ^np+++??+=DNA
was ^vbd+bedz+aux++=was
cleaned ^vpsv++agls+xvbnx+=cleaned
up ^rp++++=up
using ^vbg+++xvbg+=using
Monarch ^nn++++=Monarch
Dna ^np+++??+=DNA
Pcr ^np+++??+=PCR
Clean ^jj+atrb+++=Clean
Kit ^nn++++=Kit
( ^zz++++=(NEB)
neb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
eluted ^vpsv++agls+xvbn+=eluted
in ^in++++=in
Te ^np+++??+=TE
buffer ^nn++++=buffer.
. ^zz++++=EXTRAWORD
Library ^nn++++=Library
was ^vbd+bedz+aux++=was
constructed ^vpsv++agls+xvbnx+=constructed
using ^vbg+++xvbg+=using
universal ^nn++++=universal
i5 ^nn+++??+=i5
and ^cc++++=and
barcoded ^nn+++??+=barcoded
i7 ^nn+++??+=i7
primers ^nns+++??+=primers
and ^cc++++=and
non ^&fw++++=non-hot
- ^zz++++=EXTRAWORD
hot ^jj+atrb+++=EXTRAWORD
start ^nn++++=start
Cutana ^np+++??+=CUTANA
High ^jj+atrb+++=High
Fidelity ^nn++++=Fidelity
2x ^cd++++=2x
Pcr ^np+++??+=PCR
Master ^nn++++=Master
Mix ^vb++++=Mix
( ^zz++++=(Epicypher).
epicypher ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dna ^np+++??+=DNA
was ^vbd+bedz+aux++=was
cleaned ^vpsv++agls+xvbnx+=cleaned
and ^cc++++=and
size ^nn++++=size
selected ^vwbn+++xvbn+=selected
using ^vbg+++xvbg+=using
1.3x ^cd++++=1.3x
Ampure ^np+++??+=AMPure
beads ^nns++++=beads
and ^cc++++=and
visualized ^vpsv++agls+xvbn+=visualized
on ^in++++=on
Agilent ^np+++??+=Agilent
Bioanalyzer ^np+++??+=Bioanalyzer
system ^nn++++=system.
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
submitted ^vpsv++agls+xvbnx+=submitted
for ^in++++=for
sequencing ^nn+++??+=sequencing
on ^in++++=on
the ^ati++++=the
Novaseq_sp_100 ^np+++??+=NovaSeq_SP_100
( ^zz++++=(Genomics
genomics ^nns+++??+=EXTRAWORD
Platform ^nn++++=Platform,
, ^zz++++=EXTRAWORD
Broad ^jj+atrb+++=Broad
Institute ^nn++++=Institute).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Paired ^xvbn+++xvbn+=Paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
sequencing ^nn+++??+=sequencing
reads ^vbz++++=reads
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
to ^in++++=to
hg19 ^nn+++??+=hg19
human ^jj+atrb+++=human
reference ^nn++++=reference
genome ^nn+++??+=genome
using ^vwbg+++xvbg+=using
bwa ^nn+++??+=bwa
version ^nn++++=version
0.7.17 ^nn+++??+=0.7.17
( ^zz++++=(
Li ^np++++=Li
and ^cc++++=and
Durbin ^np+++??+=Durbin,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
44 ^cd++++=44.
. ^zz++++=EXTRAWORD
Li ^np+++??+=Li,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Durbin ^np+++??+=Durbin,
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Fast ^rb++++=Fast
and ^cc++++=and
accurate ^jj++++=accurate
short ^jj++++=short
read ^vb+vprv++xvbn+=read
alignment ^nn++++=alignment
with ^in++++=with
Burrows ^np++++=Burrows-Wheeler
- ^zz++++=EXTRAWORD
wheeler ^np++++=EXTRAWORD
transform ^vb++++=transform
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
25 ^cd++++=25
: ^zz++++=:1754-1760
1754 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
1760 ^cd+date+++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(32751)
32751 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
