Surface ^nn++++=Surface
samples ^nns++++=samples
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
preserved ^vbd+++xvbn+=preserved
using ^vbg+++xvbg+=using
a ^at++++=a
flocked ^jj+atrb++xvbn+=flocked
swab ^nn++++=swab
with ^in++++=with
a ^at++++=a
storage ^nn++++=storage
tube ^nn++++=tube
containing ^vwbg+++xvbg+=containing
a ^at++++=a
buffer ^nn++++=buffer
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
optimized ^nn+++??+=optimized
for ^in++++=for
Dna ^np+++??+=DNA
preservation ^nn++++=preservation.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
different ^jj+atrb+++=different
sets ^nns++++=sets
of ^in++++=of
materials ^nns++++=materials
were ^vbd+bed+aux++=were
used ^vbd+++xvbn+=used
for ^in++++=for
collection ^nn++++=collection
in ^in++++=in
2016 ^cd++++=2016
and ^cc++++=and
2017 ^cd++++=2017.
. ^zz++++=EXTRAWORD
