Krakenuniq ^np+++??+=KrakenUniq
reports ^nns++++=reports
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
unique ^jj+atrb+++=unique
marker ^nn++++=marker
k ^zz++++=k
- ^zz++++=-mers
mers ^np++++=EXTRAWORD
assigned ^vbd+++xvbn+=assigned
to ^in++++=to
each ^dt++++=each
taxon ^nn+++??+=taxon,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
reads ^vbz++++=reads,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fraction ^nn++++=fraction
of ^in++++=of
available ^jj+atrb+++=available
marker ^nn++++=marker
k ^zz++++=k
- ^zz++++=-mers
mers ^np++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mean ^jj+atrb+++=mean
copy ^nn++++=copy
number ^nn++++=number
of ^in++++=of
those ^dt+dem+++=those
k ^zz++++=k
- ^zz++++=-mers.
mers ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
requiring ^vbg+vsua++xvbg+=requiring
more ^rbr++++=more
k ^zz++++=k
- ^zz++++=-mers
mers ^np++++=EXTRAWORD
to ^to++++=to
identify ^vbi++++=identify
a ^at++++=a
species ^nns++++=species
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
roughly ^rb+down+++=roughly
log ^&fo++++=log-linear
- ^zz++++=EXTRAWORD
linear ^jj+atrb+++=EXTRAWORD
decrease ^nn++++=decrease
in ^in++++=in
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
species ^nns++++=species
identified ^vwbn+++xvbn+=identified
without ^in++++=without
a ^at++++=a
plateau ^nn++++=plateau
or ^cc++++=or
any ^dti++++=any
other ^ap++++=other
clear ^jj+atrb+++=clear
point ^nn++++=point
to ^to++++=to
set ^vbi++++=set
a ^at++++=a
threshold ^nn++++=threshold
( ^zz++++=(
figure ^nn++++=Figure
s2 ^np++++=S2
c ^zz++++=C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
