Tzm ^np+++??+=TZM-bl
- ^zz++++=EXTRAWORD
bl ^nn+++??+=EXTRAWORD
target ^nn++++=target
cells ^nns++++=cells
were ^vbd+bed+vrb++=were
plated ^nn+++??+=plated
in ^in++++=in
96 ^cd++++=96-well
- ^zz++++=EXTRAWORD
well ^rb++++=EXTRAWORD
plates ^nns++++=plates
( ^zz++++=(100
100 ^cd++++=EXTRAWORD
l ^zz++++=l
at ^rb++++=at
1 ^zz++++=1
10 ^cd++++=10
5 ^zz++++=5
and ^cc++++=and
24 ^cd++++=24
h ^zz++++=h
later ^rbr+tm+++=later
an ^at++++=an
equal ^jj+atrb+++=equal
volume ^nn++++=volume
of ^in++++=of
hvlps ^nns+++??+=hVLPs
were ^vbd+bed+aux++=were
overlaid ^vpsv++agls+xvbnx+=overlaid
on ^in++++=on
the ^ati++++=the
cells ^nns++++=cells.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
72 ^cd++++=72
h ^zz++++=h
incubation ^nn++++=incubation,
, ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+vrb++=were
imaged ^nn+++??+=imaged
using ^vwbg+++xvbg+=using
a ^at++++=a
Evos ^np+++??+=Evos
Fl ^np+++??+=FL
light ^nn++++=light
microscope ^nn++++=microscope
( ^zz++++=(Life
life ^nn++++=EXTRAWORD
technologies ^np++++=Technologies)
) ^zz++++=EXTRAWORD
and ^cc++++=and
20x ^cd++++=20x
objective ^nn++++=objective.
. ^zz++++=EXTRAWORD
