Although ^cs+con+++=Although
loss ^nn++++=loss
of ^in++++=of
Sp140 ^np+++??+=SP140
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
unleashed ^vbd+++xvbn+=unleashed
Top ^jjb+atrb+++=TOP
activity ^nn++++=activity
and ^cc++++=and
impaired ^vbd+++xvbn+=impaired
macrophage ^nn+++??+=macrophage
function ^nn++++=function,
, ^zz++++=EXTRAWORD
Top ^jjb+atrb+++=TOP
inhibition ^nn++++=inhibition
effectively ^rb++++=effectively
restored ^vbd+++xvbn+=restored
transcriptional ^nn+++??+=transcriptional
homeostasis ^nns+++??+=homeostasis
and ^cc++++=and
protected ^xvbn+++xvbn+=protected
Sp140 ^np+++??+=SP140
mice ^nns++++=mice
during ^in++++=during
Dss ^np+++??+=DSS-colitis
- ^zz++++=EXTRAWORD
colitis ^nns+++??+=EXTRAWORD
in ^in++++=in
vivo ^rb"++++=vivo
. ^zz++++=.
Intriguingly ^np+++??+=Intriguingly,
, ^zz++++=EXTRAWORD
Dss ^np+++??+=DSS-colitis
- ^zz++++=EXTRAWORD
colitis ^nns+++??+=EXTRAWORD
in ^in++++=in
Wt ^np+++??+=WT
animals ^nns++++=animals
was ^vbd+bedz+vrb++=was
unaffected ^jj+pred+++=unaffected
by ^in++++=by
Top ^jjb+atrb+++=TOP
inhibition ^nn++++=inhibition,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
Top ^jjb+atrb+++=TOP
inhibitors ^nns++++=inhibitors
attenuating ^jj+atrb++??+=attenuating
acute ^jj+atrb+++=acute
inflammation ^nn+++??+=inflammation
in ^in++++=in
models ^nns++++=models
of ^in++++=of
sepsis ^nns+++??+=sepsis
and ^cc++++=and
Covid ^np+++??+=COVID
( ^zz++++=(
Ho ^np++++=Ho
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
30 ^cd++++=30.
. ^zz++++=EXTRAWORD
Ho ^uh++++=Ho,
, ^zz++++=EXTRAWORD
J.s.y ^np+++??+=J.S.Y.
. ^zz++++=EXTRAWORD
Mok ^np+++??+=Mok,
, ^zz++++=EXTRAWORD
B.w ^np+++??+=B.W.
. ^zz++++=EXTRAWORD
Campisi ^np+++??+=Campisi,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Top1 ^np+++??+=Top1
inhibition ^nn++++=inhibition
therapy ^nn++++=therapy
protects ^vbz++++=protects
against ^in++++=against
Sars ^np+++??+=SARS-CoV-2-induced
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
induced ^vwbn+++xvbn+=EXTRAWORD
lethal ^jj+atrb+++=lethal
inflammation ^nn+++??+=inflammation
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
184 ^cd++++=184
: ^zz++++=:2618-2632.e17
