Experimental ^jj+atrb+++=Experimental
procedures ^nns++++=procedures
involving ^vwbg+++xvbg+=involving
nonhuman ^nn+++??+=nonhuman
primates ^nns+++??+=primates
( ^zz++++=(NHPs)
nhps ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
infectious ^nns+++??+=infectious
Ebov ^np+++??+=EBOV
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
within ^in++++=within
the ^ati++++=the
Bsl ^np+++??+=BSL-4
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
laboratory ^nn++++=laboratory
at ^in++++=at
the ^ati++++=the
Integrated ^jj+atrb++xvbn+=Integrated
Research ^nn++++=Research
Facility ^nn++++=Facility
at ^in++++=at
Fort ^nn++++=Fort
Detrick ^np+++??+=Detrick
( ^zz++++=(IRF-Frederick),
irf ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
frederick ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
National ^jj+atrb+++=National
Institutes ^nns++++=Institutes
for ^in++++=for
Allergy ^np+++??+=Allergy
and ^cc++++=and
Infectious ^np+++??+=Infectious
Diseases ^nns++++=Diseases
( ^zz++++=(NIAID),
niaid ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Division ^nn++++=Division
of ^in++++=of
Clinical ^jj+atrb+++=Clinical
Research ^nn++++=Research
( ^zz++++=(DCR),
dcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
National ^jj+atrb+++=National
Institutes ^nns++++=Institutes
of ^in++++=of
Health ^nn++++=Health
( ^zz++++=(NIH).
nih ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Irf ^np+++??+=IRF-Frederick
- ^zz++++=EXTRAWORD
frederick ^np++++=EXTRAWORD
is ^vbz+bez+vrb++=is
accredited ^nn+++??+=accredited
( ^zz++++=(000777)
000777 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
Association ^nn++++=Association
for ^in++++=for
Assessment ^nn++++=Assessment
and ^cc++++=and
Accreditation ^np+++??+=Accreditation
of ^in++++=of
Laboratory ^nn++++=Laboratory
Animal ^nn++++=Animal
Care ^nn++++=Care
( ^zz++++=(AAALAC),
aaalac ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
approved ^j+++xvbn+=approved
for ^in++++=for
Laboratory ^nn++++=Laboratory
Animal ^nn++++=Animal
Welfare ^nn++++=Welfare
( ^zz++++=(D16-00602)
d16 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
00602 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
Public ^jj+atrb+++=Public
Health ^nn++++=Health
Service ^nn++++=Service
( ^zz++++=(PHS),
phs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
registered ^jj+++xvbn+=registered
( ^zz++++=(51-F-0016)
51 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
f ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
0016 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
Department ^nn++++=Department
of ^in++++=of
Agriculture ^nn++++=Agriculture
( ^zz++++=(USDA).
usda ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
