Let ^vb+++xvbn+=Let
us ^pp1o+pp1+++=us
now ^rn+tm+++=now
take ^vb++++=take
a ^at++++=a
closer ^rbr++++=closer
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
disciplinary ^nn+nom+++=disciplinary
features ^nns++++=features
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
that ^tht+rel+subj++=that
make ^vb++++=make
up ^rp++++=up
the ^ati++++=the
Oliva ^np+++??+=OLIVA
database ^nn+++??+=database.
. ^zz++++=EXTRAWORD
Journals ^nns+nom+++=Journals
from ^in++++=from
the ^ati++++=the
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences
represent ^vb++++=represent
33 ^cd++++=33%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total,
, ^zz++++=EXTRAWORD
Medical ^jj++++=Medical
and ^cc++++=and
Health ^nn++++=Health
Sciences ^nns+nom+++=Sciences
19 ^cd++++=19%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Humanities ^nns+nom+++=Humanities
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
and ^cc++++=and
Natural ^jj+atrb+++=Natural
and ^cc+phrs+++=and
Exact ^jj+atrb+++=Exact
Sciences ^nns+nom+++=Sciences
10 ^cd++++=10%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
disciplinary ^nn+nom+++=disciplinary
distribution ^nn+nom+++=distribution
by ^in++++=by
country ^nn++++=country
of ^in++++=of
publication ^nn+nom+++=publication,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
journals ^nns+nom+++=journals
in ^in++++=in
the ^ati++++=the
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences
are ^vb+ber+vrb++=are
predominant ^jj+pred+++=predominant
in ^in++++=in
Uruguay ^np+++??+=Uruguay,
, ^zz++++=EXTRAWORD
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
Puerto ^np+++??+=Puerto
Rico ^np+++??+=Rico,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Bolivia ^np+++??+=Bolivia,
, ^zz++++=EXTRAWORD
Mexico ^np++++=Mexico
and ^cc++++=and
Peru ^np++++=Peru
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Medical ^jj++++=Medical
and ^cc++++=and
Health ^nn++++=Health
Sciences ^nns+nom+++=Sciences
journals ^nns+nom+++=journals
have ^vb+hv+vrb++=have
an ^at++++=an
important ^jj+atrb+++=important
share ^nn++++=share
in ^in++++=in
Cuba ^np++++=Cuba,
, ^zz++++=EXTRAWORD
Uruguay ^np+++??+=Uruguay,
, ^zz++++=EXTRAWORD
Bolivia ^np+++??+=Bolivia,
, ^zz++++=EXTRAWORD
Costa ^np++++=Costa
Rica ^np+++??+=Rica
and ^cc++++=and
Peru ^np++++=Peru.
. ^zz++++=EXTRAWORD
Journals ^nns+nom+++=Journals
in ^in++++=in
the ^ati++++=the
Natural ^jj+atrb+++=Natural
and ^cc+phrs+++=and
Exact ^jj+atrb+++=Exact
Sciences ^nns+nom+++=Sciences
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
greatest ^jjt+atrb+++=greatest
relative ^jj+atrb+++=relative
presence ^nn+nom+++=presence
in ^in++++=in
Argentina ^np++++=Argentina,
, ^zz++++=EXTRAWORD
Bolivia ^np+++??+=Bolivia
and ^cc++++=and
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3
shows ^nns++++=shows
the ^ati++++=the
disciplinary ^nn+nom+++=disciplinary
areas ^nns++++=areas
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
and ^cc++++=and
allows ^vbz++++=allows
for ^in+ppvb+++=for
comparing ^xvbg+++xvbg+=comparing
their ^pp$+pp3+++=their
distribution ^nn+nom+++=distribution
in ^in++++=in
less ^rbr++++=less
visible ^jj+atrb+++=visible
countries ^nns++++=countries
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
in ^in++++=in
Central ^jj+atrb+++=Central
America ^np++++=America
and ^cc++++=and
the ^ati++++=the
caribbean ^np+nom+++=Caribbean
with ^in++++=with
the ^ati++++=the
large ^jj+atrb+++=large
players ^nns+nom+++=players
in ^in++++=in
the ^ati++++=the
region ^nn++++=region.
. ^zz++++=EXTRAWORD
