Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
clearly ^rb++++=clearly
important ^jj+atrb+++=important
asymmetries ^nns++++=asymmetries
in ^in++++=in
the ^ati++++=the
different ^jj+atrb+++=different
variants ^nns+nom+++=variants
of ^in++++=of
collaboration ^nn+nom+++=collaboration
between ^in++++=between
authors ^nns++++=authors
from ^in++++=from
different ^jj+atrb+++=different
states ^nns++++=states.
. ^zz++++=EXTRAWORD
For ^in++++=For
authors ^nns++++=authors
of ^in++++=of
documents ^nns+nom+++=documents
from ^in++++=from
a ^at++++=a
given ^jj+atrb++xvbn+=given
state ^nn++++=state,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
top ^jjb++++=top
five ^cd++++=five
states ^nns++++=states
with ^in++++=with
which ^whp+rel+pied++=which
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
co ^nn++++=co-authorship
- ^zz++++=EXTRAWORD
authorship ^nn+nom+++=EXTRAWORD
are ^vb+ber+aux++=are
analyzed ^vpsv++agls+xvbnx+=analyzed,
, ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
appears ^vbz+seem+++=appears
as ^in++++=as
a ^at++++=a
prominent ^jj++++=prominent
" ^zz++++="partner"
partner ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
26 ^cd++++=26
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
in ^in++++=in
25 ^cd++++=25,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
in ^in++++=in
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
in ^in++++=in
14 ^cd++++=14
and ^cc++++=and
Paran ^np+++??+=Paran
in ^in++++=in
12 ^cd++++=12.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Pernambuco ^np+++??+=Pernambuco
comes ^vbz++++=comes
in ^in++++=in
with ^in++++=with
7 ^zz++++=7
and ^cc++++=and
Brasilia ^np+++??+=Brasilia
with ^in++++=with
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
seven ^cd++++=seven
states ^nns++++=states
which ^whp+rel+subj++=which
do ^vb+do+vrb++=do
not ^xnot++not++=not
rank ^nn++++=rank
among ^in++++=among
the ^ati++++=the
top ^jjb+atrb+++=top
five ^cd++++=five
collaborative ^jj+atrb+++=collaborative
states ^nns++++=states
for ^in++++=for
any ^dti++++=any
other ^ap++++=other
state ^nn++++=state.
. ^zz++++=EXTRAWORD
