Nicknames ^np+++??+=Nicknames:
: ^zz++++=EXTRAWORD
students ^nns++++=students
of ^in++++=of
some ^dti++++=some,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
capoeira ^nn+++??+=capoeira
schools ^nns++++=schools
are ^vb+ber+aux++=are
given ^vpsv++agls+xvbnx+=given
a ^at++++=a
nickname ^nn++++=nickname,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
generally ^rb+down+++=generally
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
Names ^nns++++=Names
of ^in++++=of
most ^ql+emph+++=most
mestres ^nns+++??+=mestres
are ^vb+ber+vrb++=are
nicknames ^nns+++??+=nicknames
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
The ^ati++++=The
origin ^nn++++=origin
of ^in++++=of
nicknames ^nns+++??+=nicknames
lies ^vbz++++=lies
in ^in++++=in
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
capoeira ^nn+++??+=capoeira
was ^vbd+bedz+vrb++=was
illegal ^jj+pred+++=illegal
and ^cc+phrs+++=and
revealing ^jj+++xvbg+=revealing
the ^ati++++=the
capoeirista ^nn++++=capoeirista
s ^zz++++=s
identity ^nn+nom+++=identity
could ^md+pos+++=could
lead ^vb++++=lead
to ^to++++=to
their ^pp$+pp3+++=their
arrest ^nn++++=arrest.
. ^zz++++=EXTRAWORD
