Close ^in+cmpx+++=Close
to ^in"++++=to
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
Juojs ^np+++??+=JUOJS
published ^vbd+++xvbn+=published
articles ^nns++++=articles
primarily ^rb+down+++=primarily
in ^in++++=in
English ^jj++++=English
( ^zz++++=(49.7%),
49.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
top ^jjb++++=top
ten ^cd++++=ten
languages ^nns+nom+++=languages
accounting ^vwbg+++xvbg+=accounting
for ^in++++=for
97.0 ^cd++++=97.0%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
titles ^nns++++=titles
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
By ^in++++=By
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
has ^vbz+hvz+vrb++=has
publications ^nns+nom+++=publications
in ^in++++=in
40 ^cd++++=40
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
documents ^nns+nom+++=documents
( ^zz++++=(rather
rather ^rb++++=EXTRAWORD
than ^in++++=than
journals ^nns+nom+++=journals)
) ^zz++++=EXTRAWORD
in ^in++++=in
English ^jj++++=English
at ^rb++++=at
92.6 ^cd++++=92.6%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
2.8 ^cd++++=2.8%
% ^zz++++=EXTRAWORD
in ^in++++=in
Chinese ^nn+nom+++=Chinese
and ^cc++++=and
1.3 ^cd++++=1.3%%
% ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
in ^in++++=in
Spanish ^jj++++=Spanish
( ^zz++++=(Vera-Baceta,
vera ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
baceta ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thelwall ^np++++=Thelwall
& ^zz++++=&
kousha ^np++++=Kousha,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
