Our ^pp$+pp1+++=Our
current ^jj+atrb+++=current
society ^nn++++=society
is ^vbz+bez+aux++=is
highly ^rb+amp+splt++=highly
digitized ^vpsv++agls+xvbnx+=digitized,
, ^zz++++=EXTRAWORD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
services ^nns++++=services,
, ^zz++++=EXTRAWORD
production ^nn+nom+++=production
and ^cc++++=and
products ^nns++++=products.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
Society ^nn++++=Society
of ^in++++=of
Networks ^nns++++=Networks,
, ^zz++++=EXTRAWORD
about ^in++++=about
which ^whp+rel+pied++=which
Castells ^np+++??+=Castells
( ^zz++++=(2000)
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
explains ^vbz+vpub+++=explains
that ^tht+vcmp+++=that
it ^pp3+it+++=it
becomes ^vbz++++=becomes
difficult ^jj++++=difficult
to ^to+jcmp+++=to
participate ^nn+nom+++=participate
in ^in++++=in
actively ^rb++++=actively
and ^cc++++=and
avail ^nn++++=avail
of ^in++++=of
what ^wdt+who+++=what
it ^pp3+it+++=it
offers ^vbz++++=offers,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
one ^cd1++++=one
does ^vbz+doz+aux++=does
not ^xnot++not++=not
know ^vb+vprv+++=know
about ^in++++=about
or ^cc++++=or
is ^vbz+bez+vrb++=is
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
deal ^vbi++++=deal
with ^in+ppvb+++=with
the ^ati++++=the
digital ^jj+atrb+++=digital
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
