While ^cs+sub+++=While
physical ^jj+atrb+++=physical
contact ^nn++++=contact
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
desirable ^jj++++=desirable
during ^in++++=during
the ^ati++++=the
capoeira ^nn+++??+=capoeira
game ^nn++++=game
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
greetings ^nns++++=greetings
( ^zz++++=(the
the ^ati++++=EXTRAWORD
capoeiristas ^nns+++??+=capoeiristas
often ^rb++++=often
embrace ^vb++++=embrace
each ^dt++++=each
other ^ap++++=other
at ^in++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
and ^cc++++=and
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
game ^nn++++=game)
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
ritualistic ^jj+atrb+++=ritualistic
movements ^nns+nom+++=movements
such ^abl++++=such
as ^ql++++=as
volta ^nn++++=volta
ao ^nn++++=ao
mundo ^nn++++=mundo
and ^cc++++=and
chamada ^nn++++=chamada.
. ^zz++++=EXTRAWORD
