As ^in++++=As
for ^in"++++=for
other ^ap++++=other
public ^jj+atrb+++=public
spaces ^nns++++=spaces
that ^tht+rel+subj++=that
could ^md+pos+++=could
serve ^vb++++=serve
the ^ati++++=the
population ^nn+nom+++=population
with ^in++++=with
access ^nn++++=access
to ^in++++=to
computers ^nns+nom+++=computers
and ^cc++++=and
the ^ati++++=the
internet ^nn+++??+=internet,
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
investments ^nns+nom+++=investments
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
between ^in++++=between
2002 ^cd++++=2002
and ^cc++++=and
2012 ^cd++++=2012
( ^zz++++=(Bueno,
bueno ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
recent ^jj+atrb+++=recent
years ^nns++++=years,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
45 ^cd++++=45%
% ^zz++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them
remain ^vb++++=remain
in ^in++++=in
operation ^nn+nom+++=operation
and ^cc++++=and
conditions ^nns+nom+++=conditions
are ^vb+ber+vrb++=are
insufficient ^jj+pred+++=insufficient,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^in++++=as
in ^in"++++=in
schools ^nns++++=schools
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2018b ^cd++++=2018b,
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
public ^jj+atrb+++=public
spaces ^nns++++=spaces
include ^vb++++=include
libraries ^nns++++=libraries
and ^cc++++=and
technology ^nn++++=technology
centers ^nns+nom+++=centers,
, ^zz++++=EXTRAWORD
also ^rb++++=also
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
Educational ^jj+atrb+++=Educational
Technology ^nn++++=Technology
Center ^np+++??+=Center
( ^zz++++=(NTE).
nte ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
years ^nns++++=years
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
spaces ^nns++++=spaces
open ^jj++++=open
to ^in++++=to
the ^ati++++=the
public ^nn++++=public
where ^wrb+who+++=where
the ^ati++++=the
population ^nn+nom+++=population
could ^md+pos+++=could
attend ^vb++++=attend,
, ^zz++++=EXTRAWORD
free ^jj++++=free
of ^in++++=of
charge ^nn++++=charge,
, ^zz++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
research ^nn++++=research
on ^in++++=on
the ^ati++++=the
internet ^nn+++??+=internet.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
could ^md+pos+++=could
also ^rb++++=also
avail ^nn++++=avail
of ^in++++=of
such ^abl++++=such
services ^nns++++=services
as ^ql++++=as
generate ^nn+nom+++=generate
a ^at++++=a
copy ^nn++++=copy
of ^in++++=of
their ^pp$+pp3+++=their
personal ^jj+atrb+++=personal
public ^jj+atrb+++=public
accounts ^nns++++=accounts
( ^zz++++=(utilities)
utilities ^nns+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
paid ^vpsv++agls+xvbnx+=paid,
, ^zz++++=EXTRAWORD
enrollment ^nn+nom+++=enrollment
for ^in++++=for
public ^jj+atrb+++=public
services ^nns++++=services
and ^cc++++=and
tenders ^nns+nom+++=tenders
and ^cc++++=and
digital ^jj+atrb+++=digital
services ^nns++++=services
in ^rb++++=in
general ^rb"++++=general.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
basic ^jj+atrb+++=basic
computer ^nn+nom+++=computer
courses ^nns++++=courses
were ^vbd+bed+aux++=were
offered ^vpsv++agls+xvbnx+=offered
to ^in++++=to
the ^ati++++=the
community ^nn+nom+++=community
and ^cc++++=and
to ^in++++=to
teachers ^nns+nom+++=teachers
( ^zz++++=(Bueno,
bueno ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
type ^nn++++=type
of ^in++++=of
location ^nn+nom+++=location,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
not ^xnot++not++=not
the ^ati++++=the
main ^jjb+atrb+++=main
one ^pn++++=one
for ^in++++=for
a ^at++++=a
student ^nn++++=student,
, ^zz++++=EXTRAWORD
served ^j+++xvbn+=served
as ^ql++++=as
a ^at++++=a
support ^nn++++=support
and ^cc++++=and
complement ^nn+nom+++=complement
for ^in++++=for
them ^pp3o+pp3+++=them
and ^cc++++=and
indeed ^rb++++=indeed
for ^in++++=for
the ^ati++++=the
entire ^jjb+atrb+++=entire
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
