Twenty ^cd++++=Twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
smooth ^jj+atrb+++=smooth
cell ^nn++++=cell
walled ^jj+atrb+++=walled
Cosmarium ^np+++??+=Cosmarium
Corda ^np++++=Corda
taxa ^nn+++??+=taxa
were ^vbd+bed+aux++=were
presently ^rb+tm+splt++=presently
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
21 ^cd++++=21
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
for ^in++++=for
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo
State ^nn++++=State
and ^cc++++=and
one ^pn++++=one
for ^in++++=for
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
List ^nn++++=List
of ^in++++=of
taxa ^nn+++??+=taxa
and ^cc++++=and
their ^pp$+pp3+++=their
occurrence ^nn+nom+++=occurrence
frequency ^nn++++=frequency
are ^vb+ber+aux++=are
listed ^vwbn+++xvbn+=listed
in ^in++++=in
table1 ^np++++=Table1.
. ^zz++++=EXTRAWORD
