Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
significant ^jj+atrb+++=significant
weight ^nn++++=weight
of ^in++++=of
this ^dt+dem+++=this
country ^nn++++=country
with ^in++++=with
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
database ^nn+++??+=database
and ^cc++++=and
having ^vbg+hvg++xvbg+=having
a ^at++++=a
high ^jj+atrb+++=high
tendency ^nn++++=tendency
towards ^in++++=towards
co ^nn++++=co-authorship
- ^zz++++=EXTRAWORD
authorship ^nn+nom+++=EXTRAWORD
among ^in++++=among
Brazilian ^jj+atrb+++=Brazilian
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
contrast ^nn++++=contrast
this ^dt+dem+++=this
with ^in++++=with
a ^at++++=a
more ^rbr++++=more
detailed ^jj+atrb+++=detailed
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
Scielo ^np+++??+=SciELO
Brazil ^np++++=Brazil
collection ^nn+nom+++=collection
( ^zz++++=(only
only ^rb+down+++=EXTRAWORD
journals ^nns+nom+++=journals
from ^in++++=from
Brazil ^np++++=Brazil).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
strong ^jj+atrb+++=strong
tendency ^nn++++=tendency
towards ^in++++=towards
scientific ^jj+atrb+++=scientific
collaboration ^nn+nom+++=collaboration
between ^in++++=between
authors ^nns++++=authors
affiliated ^vbd+++xvbn+=affiliated
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
country ^nn++++=country
but ^cc++++=but
belonging ^vbg+++xvbg+=belonging
to ^in++++=to
universities ^nns+nom+++=universities
from ^in++++=from
different ^jj+atrb+++=different
states ^nns++++=states.
. ^zz++++=EXTRAWORD
A ^at++++=A
picture ^nn++++=picture
thus ^rb+cnj+++=thus
emerges ^vbz++++=emerges
that ^dt+pdem+++=that
calls ^vbz++++=calls
into ^in++++=into
question ^nn+nom+++=question
the ^ati++++=the
preconception ^nn+nom+++=preconception
that ^tht+rel+++=that
collaboration ^nn+nom+++=collaboration
between ^in++++=between
authors ^nns++++=authors
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
country ^nn++++=country
signifies ^vbz++++=signifies
academic ^jj+atrb+++=academic
inbreeding ^nn++++=inbreeding
and ^cc++++=and
reveals ^nns+nom+++=reveals
the ^ati++++=the
complexity ^nn+nom+++=complexity
of ^in++++=of
this ^dt+dem+++=this
national ^jj+atrb+++=national
academic ^jj+atrb+++=academic
space ^nn++++=space
and ^cc++++=and
its ^pp$+it+++=its
current ^jj+atrb+++=current
dynamics ^nn++++=dynamics.
. ^zz++++=EXTRAWORD
