Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
two ^cd++++=two
extracts ^nns++++=extracts
illustrate ^nn+nom+++=illustrate
the ^ati++++=the
excessive ^jj+atrb+++=excessive
use ^nn++++=use
of ^in++++=of
cued ^jj+atrb++xvbn+=cued
elicitation ^nn+nom+++=elicitation
( ^zz++++=(Mercer,
mercer ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Socratic ^np+++??+=Socratic
questioning ^vwbg+++xvbg+=questioning
( ^zz++++=(Roth,
roth ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
limiting ^xvbg+++xvbg+=limiting
invitations ^nns+nom+++=invitations
that ^tht+rel+obj++=that
constrain ^nn+++??+=constrain
the ^ati++++=the
discourse ^nn++++=discourse
to ^in++++=to
a ^at++++=a
narrow ^jj+atrb+++=narrow
line ^nn++++=line
of ^in++++=of
reasoning ^xvbg+++xvbg+=reasoning.
. ^zz++++=EXTRAWORD
Students ^nns++++=Students
just ^rb+emph+++=just
needed ^vbd+++xvbn+=needed
to ^to+vcmp+++=to
give ^vbi++++=give
a ^ap++++=a
few ^ap"++++=few-word
- ^zz++++=EXTRAWORD
word ^nn++++=EXTRAWORD
response ^nn++++=response
to ^to++++=to
follow ^vbi+vprv+++=follow
the ^ati++++=the
explanation ^nn+nom+++=explanation
across ^in+pl+++=across
the ^ati++++=the
scientific ^jj+atrb+++=scientific
point ^nn++++=point
of ^in++++=of
view ^nn++++=view.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lesson ^nn++++=lesson
aim ^nn++++=aim
was ^vbd+bedz+aux++=was
to ^to++++=to
compare ^vbi++++=compare
water ^nn++++=water
and ^cc++++=and
perfume ^nn++++=perfume
evaporation ^nn+nom+++=evaporation.
. ^zz++++=EXTRAWORD
As ^ql++++=As
students ^nns++++=students
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
or ^cc+phrs+++=or
feel ^vb+vprv+++=feel
the ^ati++++=the
water ^nn++++=water
evaporating ^vwbg+++xvbg+=evaporating,
, ^zz++++=EXTRAWORD
the ^ati++++=the
perfume ^nn++++=perfume
played ^vbd+++xvbn+=played
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
showing ^vb+vprv++xvbg+=showing
that ^tht+vcmp+++=that
something ^pn++++=something
was ^vbd+bedz+aux++=was
leaving ^vbg+++xvbgx+=leaving
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
spreading ^jj+++xvbg+=spreading
into ^in++++=into
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
the ^ati++++=The
teacher ^nn++++=teacher
developed ^vbd+++xvbn+=developed
this ^dt+dem+++=this
reasoning ^nn++++=reasoning
( ^zz++++=(Extract
extract ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
