Ultimately ^rb+cnj+++=Ultimately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
archiving ^jj+atrb++xvbg+=archiving
options ^nns+nom+++=options
presented ^vwbn+++xvbn+=presented
in ^in++++=in
this ^dt+dem+++=this
section ^nn+nom+++=section
represent ^vb++++=represent
different ^jj+atrb+++=different
levels ^nns++++=levels
of ^in++++=of
capacity ^nn+nom+++=capacity
regarding ^in++++=regarding
the ^ati++++=the
major ^jj+atrb+++=major
goals ^nns++++=goals
of ^in++++=of
preservation ^nn+nom+++=preservation,
, ^zz++++=EXTRAWORD
conservation ^nn+nom+++=conservation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accessibility ^nn+nom+++=accessibility,
, ^zz++++=EXTRAWORD
in ^in++++=in
keeping ^xvbg+++xvbg+=keeping
with ^in++++=with
the ^ati++++=the
observations ^nns+nom+++=observations
presented ^vwbn+++xvbn+=presented
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
2 ^zz++++=2
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
smaller ^jjr++++=smaller-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
archiving ^vwbg+++xvbg+=archiving
initiatives ^nns++++=initiatives
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
proposed ^jj+++xvbn+=proposed
here ^rn+pl+++=here
may ^md+pos+++=may
not ^xnot++not++=not
meet ^vb++++=meet
Delaman ^np+++??+=DELAMAN
standards ^nns++++=standards
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
some ^dti++++=some
of ^in++++=of
these ^dt+dem+++=these
goals ^nns++++=goals,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
certainly ^rb++++=certainly
a ^at++++=a
step ^nn++++=step
in ^in++++=in
the ^ati++++=the
right ^jj+atrb+++=right
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases
they ^pp3a+pp3+++=they
may ^md+pos+++=may
offer ^vb++++=offer
more ^rbr++++=more
options ^nns+nom+++=options
for ^in++++=for
accessibility ^nn+nom+++=accessibility
even ^rb++++=even
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
less ^ql++++=less
developed ^jj+++xvbn+=developed
in ^in++++=in
their ^pp$+pp3+++=their
capacity ^nn+nom+++=capacity
for ^in++++=for
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
preservation ^nn+nom+++=preservation.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
noted ^vbd+vprv++xvbn+=noted
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
researchers ^nns+nom+++=researchers
should ^md+nec+++=should
be ^vb+be+vrb++=be
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
archiving ^xvbg+++xvbg+=archiving
both ^abx++++=both
at ^in++++=at
a ^at++++=a
local ^jj+atrb+++=local
or ^cc+phrs+++=or
regional ^jj+atrb+++=regional
level ^nn++++=level
and ^cc++++=and
also ^rb++++=also
in ^in++++=in
a ^at++++=a
higher ^jjr++++=higher-infrastructure
- ^zz++++=EXTRAWORD
infrastructure ^nn+++??+=EXTRAWORD
archive ^jj++++=archive.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
possibility ^nn+nom+++=possibility
is ^vbz+bez+aux++=is
illustrated ^vpsv++by+xvbnx+=illustrated
by ^in++++=by
the ^ati++++=the
Paresi ^np+++??+=Paresi
and ^cc++++=and
enawene ^np++++=Enawene
nawe ^np++++=Nawe
case ^nn++++=case
studies ^nns++++=studies
described ^vbd+++xvbn+=described
in ^in++++=in
6 ^zz++++=6
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
