Dennstaedtiaceae ^np+++??+=Dennstaedtiaceae,
, ^zz++++=EXTRAWORD
Lindsaeaceae ^np+++??+=Lindsaeaceae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saccolomataceae ^np+++??+=Saccolomataceae,
, ^zz++++=EXTRAWORD
presented ^xvbn+++xvbn+=presented
a ^at++++=a
total ^nn++++=total
of ^in++++=of
four ^cd++++=four
genera ^nns++++=genera
and ^cc++++=and
six ^cd++++=six
species ^nns++++=species
occurring ^vwbg+++xvbg+=occurring
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
of ^in++++=of
Vi ^np+++??+=Vi
osa ^nn+++??+=osa.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
of ^in++++=of
those ^dt+dem+++=those
species ^nn++++=species
have ^vb+hv+vrb++=have
also ^rb++++=also
infra ^nn+++??+=infra-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
classifications ^nns+nom+++=classifications,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
adopted ^vpsv++agls+xvbnx+=adopted
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
The ^ati++++=The
six ^cd++++=six
taxa ^nn+++??+=taxa
are ^vb+ber+vrb++=are:
: ^zz++++=EXTRAWORD
Dennstaedtia ^np+++??+=Dennstaedtia
cicutaria ^nn+++??+=cicutaria
( ^zz++++=(Sw.)
sw ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Moore ^np++++=Moore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pteridium ^np+++??+=Pteridium
esculentum ^nn+++??+=esculentum
subsp ^nn+++??+=subsp.
. ^zz++++=EXTRAWORD
arachnoideum ^nn+++??+=arachnoideum
( ^zz++++=(Kaulf.)
kaulf ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
J.a ^np+++??+=J.A.
. ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
( ^zz++++=(Dennstaedtiaceae);
dennstaedtiaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Lindsaea ^np+++??+=Lindsaea
lancea ^nn+++??+=lancea
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Bedd ^np+++??+=Bedd.
. ^zz++++=EXTRAWORD
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
lancea ^nn+++??+=lancea,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
