This ^dt+dem+++=This
research ^nn++++=research
was ^vbd+bedz+vrb++=was
possible ^jj+atrb+++=possible
thanks ^rb+dspt+++=thanks
to ^in"++++=to
the ^ati++++=the
financial ^nn++++=financial
support ^vb++++=support
received ^vbd+++xvbn+=received
from ^in++++=from
the ^ati++++=the
Universidad ^np+++??+=Universidad
Nacional ^np+nom++??+=Nacional
de ^&fw++++=de
Cuyo ^np+++??+=Cuyo
( ^zz++++=(PROYECTO
proyecto ^nn+++??+=EXTRAWORD
Siip ^np+++??+=SIIP
Tipo ^np+++??+=TIPO
4 ^zz++++=4-038)
- ^zz++++=EXTRAWORD
038 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Agencia ^np+++??+=Agencia
I+d+i ^np+++??+=I+D+I-Ministerio
- ^zz++++=EXTRAWORD
ministerio ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Ciencia ^np+++??+=Ciencia,
, ^zz++++=EXTRAWORD
Tecnolog ^np+++??+=Tecnolog
a ^at++++=a
e ^zz++++=e
innovaci ^np++++=Innovaci
n ^zz++++=n,
, ^zz++++=EXTRAWORD
argentina ^np++++=Argentina
( ^zz++++=(PICT
pict ^nn++++=EXTRAWORD
2017 ^cd++++=2017-2647).
- ^zz++++=EXTRAWORD
2647). ^nn++++=EXTRAWORD
