Present ^vb++++=Present
study ^nn++++=study
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
performing ^vbg+++xvbg+=performing
a ^at++++=a
taxonomic ^nn++++=taxonomic
survey ^vb++++=survey
of ^in++++=of
the ^ati++++=the
smooth ^jj+atrb+++=smooth
cell ^nn++++=cell
walled ^jj+atrb+++=walled
Cosmarium ^np+++??+=Cosmarium
species ^nn++++=species
of ^in++++=of
the ^ati++++=the
Low ^jj+atrb+++=Low
Doce ^np+++??+=Doce
River ^nn++++=River
region ^nn++++=region
three ^cd++++=three
years ^nns++++=years
after ^in++++=after
the ^ati++++=the
input ^nn++++=input
of ^in++++=of
iron ^nn++++=iron
ore ^nn++++=ore
tailings ^nns+nom+++=tailings,
, ^zz++++=EXTRAWORD
also ^rb++++=also
focusing ^jj+++xvbg+=focusing
on ^in++++=on
species ^nns++++=species
autecology ^nn+++??+=autecology,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
contributing ^jj+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
knowledge ^nn++++=knowledge
of ^in++++=of
freshwater ^jjb+atrb+++=freshwater
algal ^jj+atrb+++=algal
diversity ^nn+nom+++=diversity
of ^in++++=of
esp ^np++++=Esp
rito ^nn++++=rito
santo ^np++++=Santo
state ^nn++++=State.
. ^zz++++=EXTRAWORD
