Uncertainties ^nns++++=Uncertainties
surround ^vb++++=surround
the ^ati++++=the
origin ^nn++++=origin
of ^in++++=of
the ^ati++++=the
word ^nn++++=word
capoeira ^nn+++??+=capoeira.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
thought ^vpsv++agls+xvbnx+=thought
that ^tht+vcmp+++=that
it ^pp3+it+++=it
comes ^vbz++++=comes
from ^in+ppvb+++=from
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
Tupi ^np+++??+=Tupi
word ^nn++++=word
caa ^nn+++??+=caa-apuamera,
- ^zz++++=EXTRAWORD
apuamera ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
denominating ^jj+++xvbg+=denominating
a ^at++++=a
young ^jj+atrb+++=young
forest ^nn++++=forest
in ^in++++=in
a ^at++++=a
place ^nn++++=place
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
been ^vprf+ben+aux+xvbnx+=been
cleared ^vpsv++agls+xvbnx+=cleared.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
place ^nn++++=place
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
runaway ^jjb+atrb+++=runaway
slaves ^nns++++=slaves
practised ^vbd+++xvbn+=practised
their ^pp$+pp3+++=their
fight ^nn++++=fight
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
would ^md+prd+++=would
ambush ^vb+++??+=ambush
those ^dt+dem+++=those
sent ^vpsv++by+xvbn+=sent
by ^in++++=by
their ^pp$+pp3+++=their
master ^nn++++=master
to ^to++++=to
capture ^vbi++++=capture
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
definite ^jj+atrb+++=definite
support ^nn++++=support
to ^to++++=to
confirm ^vbi+vpub+++=confirm
this ^dt+dem+++=this
theory ^nn++++=theory
( ^zz++++=(DE
de ^&fw++++=EXTRAWORD
abreu ^np++++=ABREU,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
