Present ^vb++++=Present
material ^nn++++=material
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
both ^abx++++=both
lentic ^nn++++=lentic
and ^cc++++=and
lotic ^jj+atrb+++=lotic
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
under ^in++++=under
oligotrophic ^jj++++=oligotrophic-supertrophic
- ^zz++++=EXTRAWORD
supertrophic ^jj++++=EXTRAWORD
and ^cc++++=and
acidicalkaline ^nn+++??+=acidicalkaline
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Delazari ^np+++??+=Delazari-Barroso
- ^zz++++=EXTRAWORD
barroso ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
previously ^rb+tm+++=previously
recorded ^vbd+vpub++xvbn+=recorded
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
phytoplankton ^nn++++=phytoplankton
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
water ^nn++++=water
supply ^nn++++=supply
reservoir ^nn++++=reservoir
in ^in++++=in
esp ^np++++=Esp
rito ^nn++++=rito
santo ^np++++=Santo
state ^nn++++=State.
. ^zz++++=EXTRAWORD
