Researchers ^nns+nom++??+=Researchers
have ^vb+hv+aux++=have
also ^rb++splt++=also
discussed ^vprf+++xvbnx+=discussed
competing ^jj+atrb++xvbg+=competing
tensions ^nns++++=tensions
between ^in++++=between
deductive ^jj+atrb+++=deductive
and ^cc+phrs+++=and
inductive ^jj+atrb+++=inductive
approaches ^nns++++=approaches
in ^in++++=in
analysing ^xvbg+++xvbg+=analysing
data ^nns++++=data
( ^zz++++=(Evans,
evans ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Taber ^np+++??+=Taber,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
former ^ap++++=former
looks ^nns++++=looks
for ^in++++=for
evidence ^nn+nom+++=evidence
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
pre ^nn+++??+=pre-established
- ^zz++++=EXTRAWORD
established ^vbn+vprv++xvbn+=EXTRAWORD
themes ^nns++++=themes,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
undoubtedly ^rb++++=undoubtedly
steers ^nn++++=steers
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
latter ^ap++++=latter
stems ^nns++++=stems
from ^in++++=from
open ^jj++++=open-minded
- ^zz++++=EXTRAWORD
minded ^jj+atrb++xvbn+=EXTRAWORD
inquiry ^nn++++=inquiry,
, ^zz++++=EXTRAWORD
generates ^nns+nom+++=generates
themes ^nns++++=themes
from ^in++++=from
the ^ati++++=the
data ^nns++++=data
and ^cc++++=and
uses ^nns++++=uses
them ^pp3o+pp3+++=them
as ^in++++=as
an ^at++++=an
analytical ^jj+atrb+++=analytical
tool ^nn++++=tool
( ^zz++++=(Evans,
evans ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
can ^md+pos+++=can
be ^vb+be+aux++=be
drawn ^vpsv++agls+xvbnx+=drawn
from ^in++++=from
the ^ati++++=the
conceptual ^jj+atrb+++=conceptual
framework ^nn++++=framework
or ^cc++++=or
be ^vb+be+aux++=be
grounded ^vpsv++agls+xvbnx+=grounded
in ^in++++=in
data ^nns++++=data
( ^zz++++=(Taber,
taber ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
both ^abx++++=both
cases ^nns++++=cases
involve ^vb++++=involve
instances ^nns+nom+++=instances
of ^in++++=of
creating ^xvbg+++xvbg+=creating
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
grouping ^nvbg+++xvbg+=grouping
them ^pp3o+pp3+++=them
under ^in++++=under
higher ^jjr++++=higher-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
headings ^nns++++=headings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
formulating ^vbg+++xvbg+=formulating
a ^at++++=a
general ^jj+atrb+++=general
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
topic ^nn++++=topic
( ^zz++++=(Elo
elo ^nn++++=EXTRAWORD
& ^zz++++=&
kyng ^np++++=Kyng
s ^zz++++=s,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
