Knowing ^vbg+vprv++xvbg+=Knowing
that ^tht+vcmp+++=that
more ^rbr++++=more
than ^in++++=than
81 ^cd++++=81%
% ^zz++++=EXTRAWORD
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
students ^nns++++=students
in ^in++++=in
basic ^jj+atrb+++=basic
education ^nn+nom+++=education
attend ^vb++++=attend
public ^jj+atrb+++=public
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
they ^pp3a+pp3+++=they
municipal ^jj++++=municipal,
, ^zz++++=EXTRAWORD
state ^nn++++=state
or ^cc++++=or
federal ^jj++++=federal
( ^zz++++=(INEP,
inep ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
relevant ^jj+pred+++=relevant
that ^cs+sub+++=that
the ^ati++++=the
teaching ^jj+++xvbg+=teaching
of ^in++++=of
Ict ^np+++??+=ICT
is ^vbz+bez+vrb++=is
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
curriculum ^nn++++=curriculum
at ^in++++=at
this ^dt+dem+++=this
educational ^jj+atrb+++=educational
level ^nn++++=level
in ^in++++=in
Brazil ^np++++=Brazil
and ^cc++++=and
should ^md+nec+++=should
also ^rb++++=also
be ^vb+be+aux++=be
taught ^vpsv++agls+xvbnx+=taught
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
the ^ati++++=the
principal ^jjb+atrb+++=principal
space ^nn++++=space
for ^in++++=for
formation ^nn+nom+++=formation
for ^in++++=for
most ^ql+emph+++=most
brazilians ^np++++=Brazilians.
. ^zz++++=EXTRAWORD
