Despite ^in++++=Despite
there ^ex+pex+++=there
being ^vbg+beg++xvbg+=being
many ^ap++++=many
approaches ^nns++++=approaches
to ^to++++=to
analyse ^vbi++++=analyse
discursive ^jj+atrb+++=discursive
data ^nns++++=data
and ^cc++++=and
interaction ^nn+nom+++=interaction,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
all ^abn++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
assume ^vb+vprv+++=assume
that ^tht+vcmp+++=that
the ^ati++++=the
researcher ^nn+nom+++=researcher
must ^md+nec+++=must
reflect ^vb+vprv+++=reflect
on ^in++++=on
them ^pp3o+pp3+++=them
[ ^zz++++=[data]
data ^nns++++=EXTRAWORD
] ^zz++++=EXTRAWORD
repeatedly ^rb++++=repeatedly
and ^cc+phrs+++=and
at ^rb++++=at
length ^rb"++++=length,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
fragment ^nn+nom+++=fragment
and ^cc++++=and
manipulate ^nn+nom+++=manipulate
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
underlying ^xvbg+++xvbg+=underlying
patterns ^nns++++=patterns
and ^cc++++=and
meanings ^nns++++=meanings
( ^zz++++=(Evans,
evans ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
158 ^cd++++=158).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
extension ^nn++++=extension
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
data ^nns++++=data
is ^vbz+bez+aux++=is
fragmented ^vpsv++agls+xvbnx+=fragmented
may ^md+pos+++=may
define ^vb++++=define
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
quantitative ^jj+atrb+++=quantitative
or ^cc+phrs+++=or
qualitative ^jj+atrb+++=qualitative
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
that ^tht+vcmp+++=that
when ^wrb+who+++=when
analysing ^vbg+++xvbg+=analysing
discursive ^jj+atrb+++=discursive
interaction ^nn+nom+++=interaction,
, ^zz++++=EXTRAWORD
in ^in++++=in
most ^ql+emph+++=most
cases ^nns++++=cases
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
researcher ^nn+nom+++=researcher
will ^md+prd+++=will
categorise ^vb++++=categorise
or ^cc++++=or
code ^nn++++=code
an ^at++++=an
utterance ^nn+nom+++=utterance,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn
of ^in++++=of
speech ^nn++++=speech
or ^cc++++=or
episode ^nn++++=episode
( ^zz++++=(Hennessy
hennessy ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
