When ^wrb+who+++=When
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
prediction ^nn+nom+++=prediction
presented ^vwbn+++xvbn+=presented
by ^in++++=by
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
neuropsychological ^jj+atrb+++=neuropsychological
variables ^nns++++=variables
on ^in++++=on
intelligence ^nn+nom+++=intelligence
was ^vbd+bedz+aux++=was
checked ^vpsv++agls+xvbnx+=checked,
, ^zz++++=EXTRAWORD
disparate ^jj+atrb+++=disparate
and ^cc+phrs+++=and
coincident ^jj+atrb+++=coincident
findings ^nns++++=findings
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
between ^in++++=between
the ^ati++++=the
provinces ^nns++++=provinces
of ^in++++=of
sancti ^np++++=Sancti
sp ^&fo++++=Sp
ritus ^nns++++=ritus
and ^cc++++=and
cienfuegos ^np++++=Cienfuegos.
. ^zz++++=EXTRAWORD
