Communicative ^np+++??+=Communicative
executions ^nns+nom+++=executions:
: ^zz++++=EXTRAWORD
Ability ^nn+nom+++=Ability
to ^to+ncmp+++=to
execute ^vbi++++=execute
actions ^nns+nom+++=actions
after ^in++++=after
verbal ^jj+atrb+++=verbal
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
as ^in++++=as
told ^nn++++=told.
. ^zz++++=EXTRAWORD
Directing ^jj+atrb++xvbg+=Directing
motor ^nn++++=motor
actions ^nns+nom+++=actions
through ^in++++=through
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
executing ^xvbg+++xvbg+=executing
what ^wdt+who+++=what
to ^to++++=to
do ^vbi++++=do:
: ^zz++++=EXTRAWORD
language ^nn+nom+++=language
directs ^vbz+vpub+++=directs
the ^ati++++=the
action ^nn++++=action.
. ^zz++++=EXTRAWORD
