A ^ap++++=A
few ^ap"++++=few
years ^nns++++=years
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
joins ^nns++++=joins
an ^at++++=an
organized ^jj+atrb++xvbn+=organized
group ^nn++++=group
Guardi ^np+++??+=Guardi
es ^&fw++++=es
Brasileiros ^np+++??+=Brasileiros.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
interest ^nn++++=interest
from ^in++++=from
the ^ati++++=the
start ^nn++++=start
is ^vbz+bez+vrb++=is
self ^nn++++=self-defence,
- ^zz++++=EXTRAWORD
defence ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
street ^nn++++=street
fighting ^vwbg+++xvbg+=fighting
and ^cc++++=and
he ^pp3a+pp3+++=he
consciously ^rb++++=consciously
brings ^vbz++++=brings
a ^at++++=a
flavour ^nn++++=flavour
of ^in++++=of
this ^dt+dem+++=this
capoeira ^nn+++??+=capoeira
de ^&fw++++=de
rua ^nn++++=rua
to ^in++++=to
his ^pp$+pp3+++=his
practice ^nn++++=practice
as ^in++++=as
a ^at++++=a
contramestre ^nn++++=contramestre.
. ^zz++++=EXTRAWORD
