Searching ^vbg+++xvbg+=Searching
for ^in++++=for
a ^at++++=a
more ^rbr++++=more
complete ^jj+atrb+++=complete
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
technology ^nn++++=technology
and ^cc++++=and
human ^jj+atrb+++=human
beings ^nns++++=beings,
, ^zz++++=EXTRAWORD
Feenberg ^np+++??+=Feenberg
( ^zz++++=(2003)
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
explains ^vbz+vpub+++=explains
that ^tht+vcmp+++=that
technologies ^nns+++??+=technologies
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
endorsed ^vpsv++by+xvbn+=endorsed
by ^in++++=by
more ^rbr++++=more
democratic ^jj+atrb+++=democratic
and ^cc+phrs+++=and
participative ^jj+atrb+++=participative
processes ^nns+nom+++=processes
that ^tht+rel+subj++=that
contemplate ^nn+nom+++=contemplate
them ^pp3o+pp3+++=them
as ^in++++=as
cultural ^jj+atrb+++=cultural
artefacts ^nns+++??+=artefacts,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
socio ^nn+++??+=socio-historical
- ^zz++++=EXTRAWORD
historical ^jj+atrb+++=EXTRAWORD
relational ^nn+nom+++=relational
aspects ^nns++++=aspects,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
their ^pp$+pp3+++=their
use ^nn++++=use
is ^vbz+bez+aux++=is
controlled ^vpsv++by+xvbnx+=controlled
by ^in++++=by
the ^ati++++=the
collective ^jj++++=collective,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
based ^vpsv++agls+xvbn+=based
on ^in++++=on
the ^ati++++=the
knowledge ^nn++++=knowledge
of ^in++++=of
its ^pp$+it+++=its
benefits ^nns++++=benefits
and ^cc++++=and
dangers ^nns+nom+++=dangers.
. ^zz++++=EXTRAWORD
