Terms ^nns++++=Terms
for ^in++++=for
capoeira ^nn+++??+=capoeira
events ^nns++++=events:
: ^zz++++=EXTRAWORD
roda ^nn+++??+=roda
( ^zz++++=(a
a ^at++++=EXTRAWORD
social ^jj++++=social
gathering ^jj+++xvbg+=gathering
where ^wrb+who+++=where
capoeira ^nn+++??+=capoeira
is ^vbz+bez+aux++=is
played ^vpsv++agls+xvbnx+=played),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
batizado ^nn+++??+=batizado
( ^zz++++=(
baptism ^nn+nom+++=baptism
, ^zz++++=,
a ^at++++=a
grading ^jj+atrb++xvbg+=grading
ceremony ^nn++++=ceremony),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
formatura ^nn++++=formatura
( ^zz++++=(a
a ^at++++=EXTRAWORD
graduation ^nn+nom+++=graduation
ceremony ^nn++++=ceremony).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
