Enabling ^vbg+nom++xvbg+=Enabling
access ^nn++++=access
may ^md+pos+++=may
require ^vb+vsua+++=require
creative ^jj+atrb+++=creative
solutions ^nns+nom+++=solutions.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
model ^nn++++=model
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
met ^vprf+++xvbnx+=met
with ^in+ppvb+++=with
considerable ^jj+atrb+++=considerable
success ^nns+nom+++=success
is ^vbz+bez+vrb++=is
the ^ati++++=the
distributed ^jj+++xvbn+=distributed
digital ^jj++++=digital
audiovisual ^jj++++=audiovisual
archive ^jj++++=archive
or ^cc++++=or
jukebox ^nn++++=jukebox
archive ^jj++++=archive
( ^zz++++=(BARWICK,
barwick ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Barwick ^np+++??+=BARWICK
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
O ^zz++++=O
Meara ^np+++??+=MEARA
and ^cc++++=and
Gonz ^np+++??+=GONZ
Lez ^np+++??+=LEZ
Guadarrama ^np+++??+=GUADARRAMA,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
initiative ^nn++++=initiative,
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
piloted ^jj+++xvbn+=piloted
in ^in++++=in
Australia ^np++++=Australia,
, ^zz++++=EXTRAWORD
involves ^vbz++++=involves
setting ^nvbg+++xvbg+=setting
up ^rp++++=up
a ^at++++=a
computer ^nn+nom+++=computer
in ^in++++=in
a ^at++++=a
community ^nn+nom+++=community
center ^jjr++++=center
or ^cc++++=or
other ^ap++++=other
neutral ^jj+atrb+++=neutral
location ^nn+nom+++=location
where ^wrb+who+++=where
community ^nn+nom+++=community
members ^nns+nom+++=members
can ^md+pos+++=can
easily ^rb++++=easily
access ^nn++++=access
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
require ^vb+vsua+++=require
a ^at++++=a
connection ^nn+nom+++=connection
to ^in++++=to
the ^ati++++=the
internet ^nn+++??+=internet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
jukebox ^nn++++=jukebox
computer ^nn+nom+++=computer
contains ^vbz++++=contains
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
materials ^nns+nom+++=materials
audio ^nn+++??+=audio
and ^cc++++=and
video ^nn+++??+=video
recordings ^nns++++=recordings,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
( ^zz++++=(potentially)
potentially ^rb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
transcriptions ^nns+nom+++=transcriptions,
, ^zz++++=EXTRAWORD
photographs ^nns++++=photographs,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
in ^in++++=in
easily ^rb++++=easily
movable ^jj+atrb+++=movable
file ^nn++++=file
formats ^nns++++=formats
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
. ^zz++++=.mp3),
mp3 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
burn ^vbi++++=burn
Cds ^np+++??+=CDs/DVDs
and ^cc++++=and
to ^in++++=to
download ^jj+atrb++??+=download
files ^nns++++=files
onto ^in++++=onto
a ^at++++=a
flash ^nn++++=flash
drive ^nn++++=drive,
, ^zz++++=EXTRAWORD
phone ^nn++++=phone,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
. ^zz++++=.mp3
mp3 ^nn+++??+=EXTRAWORD
player ^nn++++=player.
. ^zz++++=EXTRAWORD
Community ^nn+nom+++=Community
members ^nns+nom+++=members
can ^md+pos+++=can
thus ^rb+cnj+splt++=thus
take ^vb++++=take
copies ^nns++++=copies
of ^in++++=of
materials ^nns+nom+++=materials
home ^nr++++=home
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
also ^rb++splt++=also
add ^vb+vpub+++=add
to ^in++++=to
the ^ati++++=the
jukebox ^nn++++=jukebox
by ^in++++=by
uploading ^xvbg+++xvbg+=uploading
their ^pp$+pp3+++=their
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
useful ^jj+atrb+++=useful
model ^nn++++=model
relies ^vbz++++=relies
on ^in++++=on
a ^at++++=a
local ^jj+atrb+++=local
wifi ^nn+++??+=wifi
transmitter ^nn+nom+++=transmitter
called ^vbd+++xvbn+=called
a ^at++++=a
Raspberry ^nn++++=Raspberry
Pi ^np+++??+=Pi
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
effective ^jj+pred+++=effective
in ^in++++=in
contexts ^nns++++=contexts
where ^wrb+who+++=where
people ^nns++++=people
have ^vb+hv+vrb++=have
smartphones ^nns+++??+=smartphones
and ^cc++++=and
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
have ^vb+hv+aux++=have
limited ^vprf+++xvbnx+=limited
or ^cc++++=or
no ^at++++=no
computer ^nn+nom+++=computer
literacy ^nn+nom+++=literacy
( ^zz++++=(e.g.
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
thieberger ^np+nom+++=THIEBERGER,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
