Our ^pp$+pp1+++=Our
research ^nn++++=research
revealed ^vbd+vprv++xvbn+=revealed
the ^ati++++=the
situated ^jj+atrb++xvbn+=situated
and ^cc+phrs+++=and
multifaceted ^jj+atrb++xvbn+=multifaceted
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
these ^dt+dem+++=these
Timorese ^np+nom++??+=Timorese
migrants ^nns+nom+++=migrants
were ^vbd+bed+aux++=were
constructing ^vbg+++xvbgx+=constructing
identities ^nns+nom+++=identities
within ^in++++=within
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
life ^nn++++=life
world ^nn++++=world,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
the ^ati++++=the
agentive ^jj+atrb+++=agentive
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
drew ^vbd+++xvbnx+=drew
on ^in+ppvb+++=on
different ^jj++++=different
linguistic ^jj++++=linguistic,
, ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=cultural
and ^cc+phrs+++=and
semiotic ^jj+atrb+++=semiotic
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
in ^in++++=in
doing ^xvbg+++xvbg+=doing
so ^ql++++=so.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
demonstrated ^vbd+vprv++xvbn+=demonstrated
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
rethink ^vb++++=rethink
the ^ati++++=the
design ^nn++++=design
and ^cc++++=and
scope ^nn++++=scope
of ^in++++=of
contemporary ^jj+atrb+++=contemporary
research ^nn++++=research
into ^in++++=into
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
migration ^nn+nom+++=migration
and ^cc++++=and
deterritorialization ^nn+nom+++=deterritorialization.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
we ^pp1a+pp1+++=we
need ^vb++++=need
to ^to+vcmp+++=to
document ^nn+nom+++=document
the ^ati++++=the
specific ^jj+atrb+++=specific
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
linguistic ^jj+atrb+++=linguistic
repertoires ^nns+++??+=repertoires
and ^cc++++=and
language ^nn+nom+++=language
practices ^nns++++=practices
are ^vb+ber+aux++=are
shaped ^vpsv++by+xvbnx+=shaped
by ^in++++=by
language ^nn+nom+++=language
policies ^nns++++=policies
and ^cc++++=and
educational ^jj+atrb+++=educational
experiences ^nns+nom+++=experiences
in ^in++++=in
countries ^nns++++=countries
of ^in++++=of
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
attention ^nn+nom+++=attention
also ^rb++++=also
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
given ^vbd+++xvbn+=given
to ^in++++=to
the ^ati++++=the
social ^jj+atrb+++=social
processes ^nns+nom+++=processes
associated ^vbd+++xvbn+=associated
with ^in++++=with
reterritorialization ^nn+nom+++=reterritorialization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
Hannam ^np+++??+=Hannam
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2006)
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
mooring ^nn++++=mooring
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
communicative ^jj+atrb+++=communicative
practices ^nns++++=practices
that ^tht+rel+obj++=that
unfold ^nn+++??+=unfold
during ^in++++=during
specific ^jj++++=specific,
, ^zz++++=EXTRAWORD
situated ^xvbn+++xvbn+=situated
processes ^nns+nom+++=processes
of ^in++++=of
mooring ^nn++++=mooring.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
by ^in++++=by
adopting ^xvbg+++xvbg+=adopting
a ^at++++=a
dual ^jj+atrb+++=dual
focus ^nn++++=focus
on ^in++++=on
migration ^nn+nom+++=migration
and ^cc++++=and
mooring ^nn++++=mooring
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
can ^md+pos+++=can
build ^vb++++=build
a ^at++++=a
full ^jj+atrb+++=full
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
multilingual ^jj+atrb+++=multilingual
resources ^nns++++=resources
are ^vb+ber+aux++=are
reconfigured ^vpsv++agls+xvbnx+=reconfigured
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
transnational ^jj+atrb+++=transnational
migration ^nn+nom+++=migration
and ^cc++++=and
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
identities ^nns+nom+++=identities
are ^vb+ber+aux++=are
constructed ^vpsv++agls+xvbn+=constructed
in ^in++++=in
different ^jj+atrb+++=different
domains ^nns++++=domains
of ^in++++=of
social ^jj+atrb+++=social
life ^nn++++=life.
. ^zz++++=EXTRAWORD
