Along ^in++++=Along
with ^in"++++=with
this ^dt+dem+++=this
critique ^nn++++=critique
of ^in++++=of
essentialised ^jj+atrb++xvbn+=essentialised
notions ^nns+nom+++=notions
of ^in++++=of
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
orientation ^nn+nom+++=orientation,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
contemporary ^jj+atrb+++=contemporary
mobilities ^nns+nom+++=mobilities.
. ^zz++++=EXTRAWORD
A ^at++++=A
broad ^jj+atrb+++=broad
epistemological ^jj+atrb+++=epistemological
shift ^nn++++=shift
took ^vbd+++xvbn+=took
place ^nn++++=place
away ^in+pl+++=away
from ^in"++++=from
sedentarist ^nn+nom+++=sedentarist
approaches ^nns++++=approaches
( ^zz++++=(HANNAM
hannam ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
and ^cc++++=and
towards ^in++++=towards
a ^at++++=a
new ^jj+atrb+++=new
concern ^nn++++=concern
with ^in++++=with
mobility ^nn+nom+++=mobility,
, ^zz++++=EXTRAWORD
deterritorialization ^nn+nom+++=deterritorialization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
intensification ^nn+nom+++=intensification
and ^cc++++=and
diversification ^nn+nom+++=diversification
of ^in++++=of
transnational ^jj+atrb+++=transnational
population ^nn+nom+++=population
movements ^nns+nom+++=movements.
. ^zz++++=EXTRAWORD
Sociolinguists ^nns+nom++??+=Sociolinguists
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
research ^nn++++=research
in ^in++++=in
multilingual ^jj+atrb+++=multilingual
contexts ^nns++++=contexts
picked ^vbd+++xvbn+=picked
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
notion ^nn++++=notion
of ^in++++=of
mobility ^nn+nom+++=mobility
in ^in++++=in
a ^at++++=a
number ^nn++++=number
of ^in++++=of
ways ^nns++++=ways
and ^cc++++=and
adopted ^xvbn+++xvbn+=adopted
new ^np++++=new
conceptual ^jj+atrb+++=conceptual
compasses ^nns+++??+=compasses:
: ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Heller ^np++++=Heller
( ^zz++++=(2011,
2011 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
5 ^zz++++=5-6)
- ^zz++++=EXTRAWORD
6 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argued ^vprf+++xvbn+=argued
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
turn ^vb++++=turn
our ^pp$+pp1+++=our
gaze ^nn++++=gaze
away ^in+pl+++=away
from ^in"++++=from
stability ^nn+nom+++=stability
to ^in++++=to
mobility ^nn+nom+++=mobility
and ^cc++++=and
engage ^vb++++=engage
in ^in++++=in
a ^at++++=a
fundamental ^nn++++=fundamental
rethink ^vb++++=rethink
of ^in++++=of
both ^abx++++=both
theory ^nn++++=theory
and ^cc++++=and
method ^nn++++=method
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
of ^in++++=of
research ^nn++++=research.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
Tools ^nns++++=Tools
of ^in++++=of
enquiry ^nn++++=enquiry
refined ^vbd+++xvbn+=refined
when ^wrb+who+++=when
the ^ati++++=the
focus ^nn++++=focus
was ^vbd+bedz+vrb++=was
on ^in++++=on
boundaries ^nns++++=boundaries,
, ^zz++++=EXTRAWORD
stability ^nn+nom+++=stability
and ^cc++++=and
homogeneity ^nn+nom+++=homogeneity
require ^vb+vsua+++=require
refashioning ^nvbg+++xvbg+=refashioning
for ^in++++=for
addressing ^xvbg+++xvbg+=addressing
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
diversity ^nn+nom+++=diversity
and ^cc++++=and
multiplicity ^nn+nom+++=multiplicity
( ^zz++++=(HELLER,
heller ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
p ^zz++++=p
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
focusing ^nn++++=focusing
on ^in++++=on
stable ^nn++++=stable
communities ^nns+nom+++=communities
, ^zz++++=,
she ^pp3a+pp3+++=she
stressed ^vbd+vpub++xvbnx+=stressed
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
need ^vb++++=need
to ^to+vcmp+++=to
focus ^vb++++=focus
on ^in++++=on
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
the ^ati++++=the
trajectories ^nns++++=trajectories
of ^in++++=of
different ^jj+atrb+++=different
social ^jj+atrb+++=social
actors ^nns++++=actors
over ^in++++=over
time ^nn++++=time
and ^cc++++=and
space ^nn++++=space
and ^cc++++=and
build ^vb++++=build
an ^at++++=an
understanding ^jj+++xvbg+=understanding
of ^in++++=of
how ^wrb+who+++=how
the ^ati++++=the
communicative ^jj+atrb+++=communicative
repertoires ^nns+++??+=repertoires
of ^in++++=of
these ^dt+dem+++=these
social ^jj+atrb+++=social
actors ^nns++++=actors
are ^vb+ber+aux++=are
shaped ^vpsv++agls+xvbnx+=shaped
within ^in++++=within
these ^dt+dem+++=these
trajectories ^nns++++=trajectories.
. ^zz++++=EXTRAWORD
The ^ati++++=The
notion ^nn++++=notion
of ^in++++=of
trajectory ^nn++++=trajectory
provides ^vbz+vsua+++=provides
a ^at++++=a
way ^nn++++=way
of ^in++++=of
taking ^xvbg+++xvbg+=taking
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
intersecting ^jj+atrb+++=intersecting
dimensions ^nns++++=dimensions
of ^in++++=of
time ^nn++++=time
and ^cc++++=and
space ^nn++++=space,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
moving ^nn++++=moving
away ^in+pl+++=away
from ^in"++++=from
synchronic ^jj+atrb+++=synchronic
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
enables ^vbz++++=enables
us ^pp1o+pp1+++=us
to ^to++++=to
capture ^vbi++++=capture
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
complexity ^nn+nom+++=complexity
of ^in++++=of
contemporary ^nn+nom+++=contemporary
transnational ^jj+atrb+++=transnational
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+dem+++=those
that ^dt+pdem+++=that
involve ^vb++++=involve
extended ^vbd+++xvbn+=extended
sojourns ^nns+++??+=sojourns
in ^in++++=in
different ^jj+atrb+++=different
countries ^nns++++=countries
and ^cc++++=and,
, ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
diverse ^jj+atrb+++=diverse
language ^nn+nom+++=language
resources ^nns++++=resources
and ^cc++++=and
funds ^nns++++=funds
of ^in++++=of
knowledge ^nn++++=knowledge
