Note ^nn++++=Note:
: ^zz++++=EXTRAWORD
Present ^vb++++=Present
material ^nn++++=material
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
both ^abx++++=both
from ^in++++=from
lotic ^nn++++=lotic
and ^cc++++=and
lentic ^jj+atrb+++=lentic
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
under ^in++++=under
ultraoligotrophicsupertrophic ^nn++++=ultraoligotrophicsupertrophic
and ^cc++++=and
circumneutral ^jj++++=circumneutral-alkaline
- ^zz++++=EXTRAWORD
alkaline ^jj+atrb+++=EXTRAWORD
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
