As ^in++++=As
for ^in"++++=for
Ict ^np+++??+=ICT,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
many ^ap++++=many
people ^nns++++=people
use ^nn++++=use
cell ^nn++++=cell
phones ^nns++++=phones
daily ^jj++++=daily.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
asked ^vprf+++xvbn+=asked
to ^to+vcmp+++=to
open ^vbi++++=open
their ^pp$+pp3+++=their
e ^zz++++=e-mail
- ^zz++++=EXTRAWORD
mail ^nn++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
computer ^nn+nom+++=computer,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
a ^at++++=a
browser ^jjr++++=browser,
, ^zz++++=EXTRAWORD
website ^nn++++=website
or ^cc++++=or
e ^zz++++=e-mail
- ^zz++++=EXTRAWORD
mail ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
password ^nn++++=password,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
tools ^nns++++=tools
are ^vb+ber+aux++=are
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
applications ^nns+nom+++=applications
on ^in++++=on
cell ^nn++++=cell
phones ^vb++++=phones
that ^tht+vcmp+subj++=that
are ^vb+ber+vrb++=are
regularly ^rb++++=regularly
open ^jj+pred+++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
don ^npt++++=don
t ^zz++++=t
require ^vb+vsua+++=require
much ^ap++++=much
knowledge ^nn++++=knowledge
for ^in++++=for
daily ^jj+atrb+++=daily
use ^nn++++=use.
. ^zz++++=EXTRAWORD
Knowledge ^nn++++=Knowledge
of ^in++++=of
everyday ^jjb+atrb+++=everyday
use ^nn++++=use
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
mean ^jj+atrb+++=mean
dominance ^nn+nom+++=dominance
to ^in++++=to
the ^ati++++=the
point ^nn++++=point
that ^tht+rel+obj++=that
the ^ati++++=the
person ^nn++++=person
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
to ^to++++=to
use ^vbi++++=use
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
her ^pp$+pp3+++=her
favor ^nn++++=favor
in ^in++++=in
other ^ap++++=other
situations ^nns+nom+++=situations
( ^zz++++=(Souza
souza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Peixoto ^np+++??+=Peixoto,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010)
) ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
may ^md+pos+++=may
require ^vb+vsua+++=require
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
professional ^jj+atrb+++=professional
situations ^nns+nom+++=situations
or ^cc++++=or
to ^in++++=to
resolve ^nn++++=resolve
academic ^jj+atrb+++=academic
issues ^nns++++=issues.
. ^zz++++=EXTRAWORD
