Researchers ^nns+nom++??+=Researchers
who ^whp+rel+obj++=who
work ^nn++++=work
or ^cc++++=or
have ^vb+hv+aux++=have
worked ^vprf+++xvbnx+=worked
with ^in++++=with
speakers ^nns+nom+++=speakers
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
languages ^nns+nom+++=languages
are ^vb+ber+vrb++=are
often ^rb++++=often
in ^in++++=in
personal ^jj+atrb+++=personal
possession ^nn++++=possession
of ^in++++=of
rich ^jj+atrb+++=rich
documentary ^jj+atrb+++=documentary
collections ^nns+nom+++=collections
including ^in++++=including
field ^nn++++=field
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
sound ^jj+atrb+++=sound
recordings ^nns++++=recordings,
, ^zz++++=EXTRAWORD
photographs ^nns++++=photographs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
film ^nn++++=film,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
their ^pp$+pp3+++=their
offices ^nns++++=offices
or ^cc++++=or
homes ^nrs++++=homes
in ^in++++=in
sub ^nn++++=sub-optimal
- ^zz++++=EXTRAWORD
optimal ^jj+atrb+++=EXTRAWORD
or ^cc+phrs+++=or
risky ^jj+atrb+++=risky
conditions ^nns+nom+++=conditions
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
damage ^nn++++=damage
from ^in++++=from
humidity ^nn+nom+++=humidity,
, ^zz++++=EXTRAWORD
insects ^nns++++=insects,
, ^zz++++=EXTRAWORD
flooding ^nn++++=flooding).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
even ^rb++++=even
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
not ^xnot++not++=not
especially ^rb++++=especially
numerous ^jj++++=numerous
are ^vb+ber+vrb++=are
of ^in++++=of
high ^jj++++=high
linguistic ^jj++++=linguistic,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
historical ^jj++++=historical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
personal ^jj+atrb+++=personal
value ^nn++++=value
for ^in++++=for
individuals ^nns+nom+++=individuals
and ^cc++++=and
larger ^jjr+atrb+++=larger
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
For ^in++++=For
less ^ql++++=less
well ^rb++++=well
documented ^vbd+++xvbn+=documented
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
may ^md+pos+++=may
constitute ^vb++++=constitute
the ^ati++++=the
only ^rb+down+++=only
early ^jj++++=early
records ^vbz+vpub+++=records
of ^in++++=of
language ^nn+nom+++=language
use ^nn++++=use,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
aspects ^nns++++=aspects
of ^in++++=of
life ^nn++++=life
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
often ^rb++++=often
capture ^nn++++=capture.
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
widely ^rb++++=widely
spoken ^jj+atrb++xvbn+=spoken
languages ^nns+nom+++=languages
such ^abl++++=such
as ^ql++++=as
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
historical ^jj+atrb+++=historical
records ^nns++++=records
are ^vb+ber+vrb++=are
readily ^rb++++=readily
at ^in++++=at
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
historical ^jj+atrb+++=historical
records ^nns++++=records
of ^in++++=of
many ^ap++++=many
indigenous ^jj+atrb+++=indigenous
languages ^nns+nom+++=languages
often ^rb++++=often
persist ^nn+nom+++=persist
only ^rb+down+++=only
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
diligent ^jj+atrb+++=diligent
efforts ^nns++++=efforts
to ^in+ncmp+++=to
archive ^jj+atrb+++=archive
legacy ^nn++++=legacy
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Austin ^np++++=Austin
( ^zz++++=(2017,
2017 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
23 ^cd++++=23,
, ^zz++++=EXTRAWORD
emphasis ^nn++++=emphasis
added ^vbd+vpub++xvbn+=added)
) ^zz++++=EXTRAWORD
stresses ^nns+nom+++=stresses,
, ^zz++++=EXTRAWORD
For ^in++++=For
projects ^nns++++=projects
interested ^jj++++=interested
in ^in++++=in
documenting ^xvbg+++xvbg+=documenting,
, ^zz++++=EXTRAWORD
describing ^vbg+++xvbg+=describing
or ^cc+phrs+++=or
revitalizing ^vbg+++xvbg+=revitalizing
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
endangered ^vbd+++xvbn+=endangered
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
historically ^rb++++=historically
existing ^jj+atrb++xvbg+=existing
materials ^nns+nom+++=materials
( ^zz++++=(whether
whether ^cs+who+++=EXTRAWORD
digital ^jj++++=digital
or ^cc++++=or
analog ^nn+++??+=analog)
) ^zz++++=EXTRAWORD
like ^in++++=like
tape ^nn++++=tape
recordings ^nns++++=recordings
made ^vbd+++xvbn+=made
in ^in++++=in
earlier ^jjr+atrb+++=earlier
times ^nns++++=times
or ^cc++++=or
written ^xvbn+++xvbn+=written
materials ^nns+nom+++=materials
collected ^vwbn+++xvbn+=collected
years ^nns++++=years
or ^cc++++=or
even ^rb++++=even
centuries ^nns++++=centuries
ago ^rb++++=ago
may ^md+pos+++=may
exist ^vb++++=exist
and ^cc++++=and
may ^md+pos+++=may
represent ^vb++++=represent
important ^jj+atrb+++=important
sources ^nns++++=sources
of ^in++++=of
information ^nn+nom+++=information,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
information ^nn+nom+++=information
available ^jj++++=available.
. ^zz++++=EXTRAWORD
Linguists ^nns+nom+++=Linguists
have ^vb+hv+vrb++=have
a ^at++++=a
professional ^jj+atrb+++=professional
responsibility ^nn+nom+++=responsibility
to ^to+ncmp+++=to
be ^vbi++vrb++=be
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
relevant ^jj+atrb+++=relevant
legacy ^nn++++=legacy
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
work ^nn++++=work
toward ^in++++=toward
preserving ^xvbg+++xvbg+=preserving
them ^pp3o+pp3+++=them
for ^in++++=for
and ^cc++++=and
in ^in++++=in
collaboration ^nn+nom+++=collaboration
with ^in++++=with
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
for ^in++++=for
linguistics ^nn++++=linguistics
and ^cc++++=and
related ^xvbn+++xvbn+=related
disciplines ^nns++++=disciplines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
posterity ^nn+nom+++=posterity
generally ^rb+down+++=generally.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
allows ^vbz++++=allows
for ^in+ppvb+++=for
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
philological ^jj+atrb+++=philological
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
documentary ^jj+atrb+++=documentary
record ^nn++++=record,
, ^zz++++=EXTRAWORD
recogniz[ing ^jj+++xvbg+=recogniz[ing]
] ^zz++++=EXTRAWORD
the ^ati++++=the
documentary ^jj+atrb+++=documentary
filiation ^nn+nom+++=filiation
which ^whp+rel+subj++=which
characterizes ^vbz++++=characterizes
all ^rb++++=all
linguistic ^jj+atrb+++=linguistic
data ^nns++++=data
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
successively ^rb++splt++=successively
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
interpreted ^j+++xvbn+=interpreted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
analyzed ^jj+++xvbn+=analyzed
( ^zz++++=(GODDARD,
goddard ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1973 ^cd+date+++=1973,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
727 ^cd++++=727).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
linguists ^nns+nom+++=linguists
have ^vb+hv+vrb++=have
a ^at++++=a
responsibility ^nn+nom+++=responsibility
