Up ^rp++++=Up
until ^in++++=until
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
total ^jj+atrb+++=total
Fdi ^np+++??+=FDI
into ^in++++=into
Turkey ^np++++=Turkey
stood ^vbd+++xvbn+=stood
only ^rb+down+++=only
at ^rb++++=at
Usd ^np+++??+=USD
15 ^cd++++=15
billion ^cd++++=billion
while ^cs+sub+++=while
the ^ati++++=the
country ^nn++++=country
has ^vbz+hvz+aux++=has
since ^cs+sub+++=since
attracted ^vprf+++xvbn+=attracted
around ^rp++++=around
Usd ^np+++??+=USD
209 ^cd++++=209
billion ^cd++++=billion
of ^in++++=of
fdi ^np++++=FDI
during ^in++++=during
the ^ati++++=the
2003 ^cd++++=2003-2018
- ^zz++++=EXTRAWORD
2018 ^cd++++=EXTRAWORD
period ^nn++++=period.
. ^zz++++=EXTRAWORD
