Noteworthy ^jj++++=Noteworthy,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
purpose ^nn++++=purpose
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^in++++=to
report ^nn++++=report
each ^dt++++=each
variation ^nn++++=variation
observed ^vbd+++xvbn+=observed
in ^in++++=in
the ^ati++++=the
70 ^cd++++=70
orthologues ^nns+++??+=orthologues
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
point ^nn++++=point
out ^rp+pl+++=out
some ^dti++++=some
thought ^nn+++xvbn+=thought-provoking
- ^zz++++=EXTRAWORD
provoking ^jj+atrb+++=EXTRAWORD
findings ^vb++++=findings
to ^to+vcmp+++=to
support ^vbi++++=support
the ^ati++++=the
discussion ^nn++++=discussion
and ^cc++++=and
the ^ati++++=the
main ^jjb+atrb+++=main
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
built ^vbd+++xvbn+=built
Figure ^nn++++=Figure
S1 ^np+++??+=S1,
, ^zz++++=EXTRAWORD
a ^at++++=a
simplified ^jj+atrb++xvbn+=simplified
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
from ^in++++=from
Figure ^nn++++=Figure
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
only ^ap+down+++=only
sites ^nns++++=sites
and ^cc++++=and
species ^nns++++=species
commented ^vbd+vpub++xvbn+=commented
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
paragraphs ^nns++++=paragraphs
are ^vb+ber+aux++=are
shown ^vprf+++xvbn+=shown.
. ^zz++++=EXTRAWORD
