Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
five ^cd++++=five
Nwm ^np+++??+=NWm
and ^cc++++=and
Prossimian ^np+++??+=Prossimian
species ^nns++++=species
show ^vb+vprv+++=show
different ^jj+atrb+++=different
patterns ^nns++++=patterns
than ^in++++=than
other ^ap++++=other
primates ^nns+++??+=primates
at ^rb++++=at
position ^nn++++=position
82 ^cd++++=82-84.
- ^zz++++=EXTRAWORD
84 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
present ^vb++++=present
a ^at++++=a
moderately ^rb++++=moderately
conserved ^vbd+++xvbn+=conserved
change ^nn++++=change
at ^rb++++=at
position ^nn++++=position
82 ^cd++++=82
( ^zz++++=(M82T;
m82t ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Gs ^np+++??+=GS
= ^zz++++==
81 ^cd++++=81),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
also ^rb++++=also
represents ^vbz++++=represents
a ^at++++=a
change ^nn++++=change
in ^in++++=in
polarity ^nn+++??+=polarity.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
note ^vb++++=note
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
great ^jj+atrb+++=great
number ^nn++++=number
of ^in++++=of
species ^nns++++=species
that ^tht+rel+subj++=that
present ^vb++++=present
the ^ati++++=the
amino ^nn+++??+=amino
acid ^jj+atrb+++=acid
Threonine ^np+++??+=Threonine
in ^in++++=in
that ^dt+dem+++=that
position ^nn++++=position,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
principle ^nn++++=principle
of ^in++++=of
parsimony ^nn+++??+=parsimony,
, ^zz++++=EXTRAWORD
Threonine ^np+++??+=Threonine
is ^vbz+bez+vrb++=is
probably ^rb++++=probably
the ^ati++++=the
ancestral ^jj+atrb+++=ancestral
allele ^nn+++??+=allele,
, ^zz++++=EXTRAWORD
meaning ^vbg+vprv++xvbg+=meaning
that ^tht+vcmp+++=that
a ^at++++=a
non ^&fw++++=non-synonymous
- ^zz++++=EXTRAWORD
synonymous ^jj++++=EXTRAWORD
mutation ^vb+++??+=mutation
promoted ^vbd+++xvbn+=promoted
the ^ati++++=the
Aa ^np+++??+=AA
alteration ^nn++++=alteration
Threonine ^np+++??+=Threonine
( ^zz++++=(T)
t ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
> ^zz++++=>
Methionine ^np+++??+=Methionine
( ^zz++++=(M)
m ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ancestral ^jj+atrb+++=ancestral
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
Catarrhini ^np+++??+=Catarrhini
clade ^nn+++??+=clade.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ancestor ^nn++++=ancestor
of ^in++++=of
the ^ati++++=the
Platyrrhini ^np+++??+=Platyrrhini
maintained ^vbd+vpub++xvbn+=maintained
the ^ati++++=the
ancestral ^jj+atrb+++=ancestral
allele ^nn+++??+=allele
T ^zz++++=T.
. ^zz++++=EXTRAWORD
At ^in++++=At
position ^nn++++=position
41 ^cd++++=41,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
