Knowing ^vbg+vprv++xvbg+=Knowing
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
in ^in++++=in
asymptomatic ^nn+++??+=asymptomatic
people ^nns++++=people
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
for ^in++++=for
two ^cd++++=two
major ^jj+atrb+++=major
reasons ^nns++++=reasons.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
healthy ^jj+atrb+++=healthy
people ^nns++++=people
in ^in++++=in
epidemic ^nn++++=epidemic
areas ^nns++++=areas
may ^md+pos+++=may
be ^vb+be+aux++=be
infected ^vpsv++agls+xvbnx+=infected
and ^cc+phrs+++=and
show ^vb+vprv+++=show
no ^at++++=no
symptoms ^nns++++=symptoms
but ^cc++++=but
might ^md+pos+++=might
be ^vb+be+vrb++=be
significant ^jj+atrb+++=significant
sources ^nns++++=sources
of ^in++++=of
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic
in ^in++++=in
China ^np++++=China,
, ^zz++++=EXTRAWORD
about ^in++++=about
86 ^cd++++=86%
% ^zz++++=EXTRAWORD
of ^in++++=of
infections ^nns++++=infections
were ^vbd+bed+aux++=were
not ^xnot++not++=not
detected ^vbd+++xvbn+=detected,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
the ^ati++++=the
source ^nn++++=source
of ^in++++=of
infection ^nn++++=infection
for ^in++++=for
about ^in++++=about
79 ^cd++++=79%
% ^zz++++=EXTRAWORD
of ^in++++=of
cases ^nns++++=cases
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
herd ^nn++++=herd
immunity ^nn++++=immunity
is ^vbz+bez+vrb++=is
an ^at++++=an
essential ^jj+atrb+++=essential
indicator ^nn++++=indicator
of ^in++++=of
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
infection ^nn++++=infection
in ^in++++=in
a ^at++++=a
community ^nn++++=community.
. ^zz++++=EXTRAWORD
Monitoring ^nvbg+++xvbg+=Monitoring
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
herd ^nn++++=herd
immunity ^nn++++=immunity
might ^md+pos+++=might
be ^vb+be+vrb++=be
important ^jj+pred+++=important
as ^in++++=as
a ^at++++=a
reference ^nn++++=reference
for ^in++++=for
guiding ^xvbg+++xvbg+=guiding
the ^ati++++=the
future ^jjb+atrb+++=future
decisions ^nns++++=decisions
on ^in++++=on
when ^wrb+who+++=when
would ^md+prd+++=would
be ^vb+be+vrb++=be
safe ^jj+pred+++=safe
to ^to+jcmp+++=to
start ^vbi++++=start
relaxing ^nvbg+++xvbg+=relaxing
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
recommendation ^nn++++=recommendation,
, ^zz++++=EXTRAWORD
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
subsequent ^jj+atrb+++=subsequent
epidemic ^nn++++=epidemic
outbreaks ^nns++++=outbreaks
[ ^zz++++=[12].
12 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
