Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Mean ^jj+atrb+++=Mean
patients ^nns++++=patients
age ^nn++++=age
was ^vbd+bedz+vrb++=was
58.2 ^cd++++=58.2
years ^nns++++=years,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
were ^vbd+bed+vrb++=were
male ^jj+pred+++=male
( ^zz++++=(60.4%)
60.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
had ^vb+hv+vrb++=had
prior ^jj+atrb+++=prior
diagnosis ^nn++++=diagnosis
of ^in++++=of
cancer ^nn++++=cancer
( ^zz++++=(85.7%).
85.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ct ^np+++??+=CT
showed ^vbd+vprv++xvbn+=showed
typical ^jj+atrb+++=typical
findings ^nns++++=findings
in ^in++++=in
28.6 ^cd++++=28.6%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indeterminate ^jj+atrb+++=indeterminate
findings ^nns++++=findings
in ^in++++=in
24.2 ^cd++++=24.2%
% ^zz++++=EXTRAWORD
and ^cc++++=and
atypical ^jj+atrb+++=atypical
findings ^nns++++=findings
in ^in++++=in
26.4 ^cd++++=26.4%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
results ^nns++++=results
were ^vbd+bed+vrb++=were
positive ^jj+pred+++=positive
for ^in++++=for
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
in ^in++++=in
27.5 ^cd++++=27.5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
sensitivity ^nn++++=sensitivity,
, ^zz++++=EXTRAWORD
specificity ^nn++++=specificity
and ^cc++++=and
accuracy ^nn++++=accuracy
in ^in++++=in
the ^ati++++=the
first ^od++++=first
and ^cc++++=and
second ^od++++=second
scenarios ^nns+++??+=scenarios
were ^vbd+bed+vrb++=were
respectively ^rb++++=respectively
64.0 ^cd++++=64.0%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
84.8 ^cd++++=84.8%
% ^zz++++=EXTRAWORD
and ^cc++++=and
79.1 ^cd++++=79.1%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
92.0 ^cd++++=92.0%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
62.1 ^cd++++=62.1%
% ^zz++++=EXTRAWORD
and ^cc++++=and
70.3 ^cd++++=70.3%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
