Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
on ^in++++=on
2,857 ^cd++++=2,857
blood ^nn++++=blood
donors ^nns++++=donors
from ^in++++=from
April ^nr++++=April
14 ^cd++++=14
to ^to++++=to
27 ^cd++++=27,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
report ^vb++++=report
the ^ati++++=the
crude ^jj+atrb+++=crude
prevalence ^nn+++??+=prevalence
of ^in++++=of
antibodies ^nns++++=antibodies
to ^in++++=to
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
weighted ^jj+atrb++xvbn+=weighted
prevalence ^nn+++??+=prevalence
by ^in++++=by
the ^ati++++=the
total ^jj+atrb+++=total
state ^nn++++=state
population ^nn++++=population,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adjusted ^vbd+++xvbn+=adjusted
prevalence ^nn+++??+=prevalence
estimates ^nns++++=estimates
for ^in++++=for
test ^nn++++=test
sensitivity ^nn++++=sensitivity
and ^cc++++=and
specificity ^nn++++=specificity.
. ^zz++++=EXTRAWORD
To ^to++++=To
establish ^vbi+vprv+++=establish
the ^ati++++=the
correlates ^nns+++??+=correlates
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
prevalence ^nn+++??+=prevalence,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
logistic ^nn+++??+=logistic
regression ^nn++++=regression
models ^nns++++=models.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
included ^vbd+++xvbn+=included
period ^nn++++=period
and ^cc++++=and
site ^nn++++=site
of ^in++++=of
blood ^nn++++=blood
collection ^nn++++=collection,
, ^zz++++=EXTRAWORD
sociodemographic ^nn++++=sociodemographic
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
place ^nn++++=place
of ^in++++=of
residence ^nn++++=residence.
. ^zz++++=EXTRAWORD
